samplename	original_varname	acc_varname	groupid	count	percentage
Knaap_a72	Abies	Abies	TRSH	22	3.37
Knaap_a72	Acer	Acer campestre-type	TRSH	11	1.69
Knaap_a72	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	13	1.99
Knaap_a72	Alnus viridis	Alnus viridis	TRSH	1	0.15
Knaap_a72	Betula	Betula	TRSH	13	1.99
Knaap_a72	Buxus sempervirens	Buxus	TRSH	2	0.31
Knaap_a72	Carpinus betulus	Carpinus betulus	TRSH	8	1.23
Knaap_a72	Castanea sativa	Castanea sativa	TRSH	7	1.07
Knaap_a72	Cedrus	Cedrus	TRSH	1	0.15
Knaap_a72	Corylus avellana	Corylus	TRSH	10	1.53
Knaap_a72	Fagus	Fagus	TRSH	41	6.29
Knaap_a72	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	13	1.99
Knaap_a72	Juglans	Juglans	TRSH	1	0.15
Knaap_a72	Juniperus	Juniperus communis-type	TRSH	4	0.61
Knaap_a72	Olea	Olea europaea	TRSH	4	0.61
Knaap_a72	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	1	0.15
Knaap_a72	Picea	Picea	TRSH	255	39.11
Knaap_a72	Pinus cembra	Pinus cembra-type	TRSH	1	0.15
Knaap_a72	Pinus subg. Pinus	Pinus sylvestris-type	TRSH	39	5.98
Knaap_a72	Platanus	Platanus	TRSH	1	0.15
Knaap_a72	Populus	Populus	TRSH	1	0.15
Knaap_a72	Quercus	Quercus	TRSH	26	3.99
Knaap_a72	Salix	Salix	TRSH	3	0.46
Knaap_a72	Sorbus-type	Sorbus-type	TRSH	1	0.15
Knaap_a72	Ulmus	Ulmus/Zelkova	TRSH	1	0.15
Knaap_a72	Ambrosia	Ambrosia	HERB	1	0.15
Knaap_a72	Umbelliferae	Apiaceae	HERB	1	0.15
Knaap_a72	Artemisia	Artemisia	HERB	1	0.15
Knaap_a72	Aster-type	Aster-type	HERB	1	0.15
Knaap_a72	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	11	1.69
Knaap_a72	Centaurea montana	Centaurea montana-type	HERB	2	0.31
Knaap_a72	Cerealia	Cerealia-type	HERB	5	0.77
Knaap_a72	Chenopodiaceae-type	Chenopodiaceae/Amaranthaceae	HERB	2	0.31
Knaap_a72	Stachys-type	Galeopsis-type	HERB	1	0.15
Knaap_a72	Geranium	Geranium	HERB	1	0.15
Knaap_a72	Heracleum	Heracleum	HERB	3	0.46
Knaap_a72	Hypericum perforatum-type	Hypericum perforatum-type	HERB	1	0.15
Knaap_a72	Luzula	Juncaceae	HERB	5	0.77
Knaap_a72	Knautia	Knautia	HERB	1	0.15
Knaap_a72	Melampyrum	Melampyrum	HERB	18	2.76
Knaap_a72	Plantago	Plantago	HERB	2	0.31
Knaap_a72	Plantago lanceolata-type	Plantago lanceolata-type	HERB	7	1.07
Knaap_a72	Plantago major	Plantago major	HERB	1	0.15
Knaap_a72	Plantago media	Plantago media	HERB	5	0.77
Knaap_a72	Gramineae	Poaceae	HERB	60	9.2
Knaap_a72	Potentilla-type	Potentilla-type	HERB	1	0.15
Knaap_a72	Ranunculus acris-type	Ranunculus acris-type	HERB	3	0.46
Knaap_a72	Rubiaceae	Rubiaceae	HERB	2	0.31
Knaap_a72	Rumex acetosa-type	Rumex acetosa-type	HERB	4	0.61
Knaap_a72	Rumex obtusifolius-type	Rumex crispus-type	HERB	1	0.15
Knaap_a72	Thalictrum	Thalictrum	HERB	1	0.15
Knaap_a72	Trifolium repens-type	Trifolium repens-type	HERB	1	0.15
Knaap_a72	Urtica	Urtica	HERB	8	1.23
Knaap_a72	Dryopteris filix-mas-type	Dryopteris filix-mas-type	VACR	3	0.46
Knaap_a72	Monolete fern spores	Monolete fern spores	VACR	17	2.61
Knaap_a72	Pteridium aquilinum	Pteridium aquilinum	VACR	2	0.31
Knaap_a72	Cyperaceae	Cyperaceae	AQUA	22	3.37
Knaap_a72	Counted exote	Counted exote	NOPO	25	
Knaap_a72	Lycopodium (grains/tablet)	Lycopodium (spores/tablet)	NOPO	18583	
Knaap_a72	Lycopodium tablets (number)	Lycopodium tablets (number)	NOPO	2	
