samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Kolaczek_d1	759	5	321	Abies alba	Abies	TRSH
Kolaczek_d1	7	4	7	Artemisia	Artemisia	HERB
Kolaczek_d1	1380	105	12	Betula undiff.	Betula	TRSH
Kolaczek_d1	1422	5	13	Brassicaceae undiff.	Brassicaceae	HERB
Kolaczek_d1	3646	39	3645	Calluna vulgaris	Calluna vulgaris	DWAR
Kolaczek_d1	1062	4	29	Centaurea jacea-type	Centaurea nigra-type	HERB
Kolaczek_d1	1065	7	22	Cerealia-type	Cerealia-type	HERB
Kolaczek_d1	3773	28	3773	Charcoal	Charcoal	MACR
Kolaczek_d1	1243	1	603	Cirsium-type	Cirsium	HERB
Kolaczek_d1	3868	16	3868	Cyperaceae	Cyperaceae	AQUA
Kolaczek_d1	825	1	220	Dryopteris filix-mas	Dryopteris filix-mas-type	VACR
Kolaczek_d1	547	1	547	Epilobium	Epilobium	HERB
Kolaczek_d1	45	3	45	Filipendula	Filipendula	HERB
Kolaczek_d1	190	5	190	Fraxinus	Fraxinus	TRSH
Kolaczek_d1	949	1	258	Hordeum-type	Hordeum-type	HERB
Kolaczek_d1	1220	61	829	Hypericum perforatum-type	Hypericum perforatum-type	HERB
Kolaczek_d1	57	1	57	Juglans	Juglans	TRSH
Kolaczek_d1	58	1	58	Juniperus	Juniperus communis-type	TRSH
Kolaczek_d1	123	1	123	Larix	Larix/Pseudotsuga	TRSH
Kolaczek_d1	559	444	559	Lycopodium (counted)	Lycopodium (counted)	NOPO
Kolaczek_d1	4193	2	146	Monolete fern spores	Monolete fern spores	VACR
Kolaczek_d1	4286	11	4284	Phragmites australis-type	Phragmites australis-type	AQUA
Kolaczek_d1	783	79	783	Picea abies	Picea abies-type	TRSH
Kolaczek_d1	1226	68	125	Pinus sylvestris-type	Pinus sylvestris-type	TRSH
Kolaczek_d1	429	58	80	Poaceae undiff.	Poaceae	HERB
Kolaczek_d1	81	2	81	Populus	Populus	TRSH
Kolaczek_d1	189	26	189	Quercus	Quercus	TRSH
Kolaczek_d1	4531	2	99	Salix pentandra-type	Salix	TRSH
Kolaczek_d1	1400	6	99	Salix undiff.	Salix	TRSH
Kolaczek_d1	256	3	256	Secale cereale	Secale cereale	HERB
Kolaczek_d1	144	590	144	Sphagnum	Sphagnum	BRYO
Kolaczek_d1	1786	14	116	Trifolium repens-type	Trifolium repens-type	HERB
Kolaczek_d1	1233	3	1199	Triticum-type	Triticum-type	HERB
Kolaczek_d1	1287	1	417	Typha latifolia	Typha latifolia	AQUA
Kolaczek_d1	652	22	652	Urtica	Urtica	HERB
Kolaczek_d1	4730	3	4730	Vaccinium-type	Vaccinium-type	DWAR
Kolaczek_d1	5	14	5	Alnus	Alnus	TRSH
Kolaczek_d1	31	21	31	Corylus avellana	Corylus	TRSH
Kolaczek_d1	42	10	42	Fagus sylvatica	Fagus	TRSH
Kolaczek_d1	60	3	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Kolaczek_d1	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Kolaczek_d1	563	9	16	Carpinus betulus	Carpinus betulus	TRSH
Kolaczek_d1	597	1	11	Aster-type	Aster-type	HERB
Kolaczek_d1	634	8	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Kolaczek_d1	3526	3	586	Ambrosia artemisiifolia-type	Ambrosia	HERB
