samplename	original_varname	acc_varname	groupid	count	percentage
Kolaczek_f16	Acer	Acer campestre-type	TRSH	1	0.10660981
Kolaczek_f16	Aesculus hippocastanum	Aesculus hippocastanum	TRSH	9	0.95948827
Kolaczek_f16	Alnus	Alnus	TRSH	208	22.17484
Kolaczek_f16	Betula	Betula	TRSH	89	9.4882729
Kolaczek_f16	Calluna vulgaris	Calluna vulgaris	TRSH	3	0.31982942
Kolaczek_f16	Carpinus betulus	Carpinus betulus	TRSH	4	0.42643923
Kolaczek_f16	Corylus avellana	Corylus	TRSH	19	2.0255864
Kolaczek_f16	Fagus sylvatica	Fagus	TRSH	3	0.31982942
Kolaczek_f16	Fraxinus	Fraxinus	TRSH	11	1.1727079
Kolaczek_f16	Juniperus	Juniperus communis-type	TRSH	2	0.21321962
Kolaczek_f16	Ligustrum vulgare	Ligustrum	TRSH	2	0.21321962
Kolaczek_f16	Malus-type	Malus-type	TRSH	1	0.10660981
Kolaczek_f16	Picea abies	Picea abies-type	TRSH	8	0.85287846
Kolaczek_f16	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	176	18.763326
Kolaczek_f16	Populus	Populus	TRSH	1	0.10660981
Kolaczek_f16	Quercus	Quercus	TRSH	19	2.0255864
Kolaczek_f16	Sorbus-group	Rosaceae (non-operculate)	TRSH	1	0.10660981
Kolaczek_f16	Salix undifferentiated	Salix undifferentiated	TRSH	16	1.7057569
Kolaczek_f16	Sambucus nigra-type	Sambucus nigra/S. racemosa	TRSH	7	0.74626866
Kolaczek_f16	Tilia cordata-type	Tilia cordata-type	TRSH	1	0.10660981
Kolaczek_f16	Ulmus	Ulmus/Zelkova	TRSH	3	0.31982942
Kolaczek_f16	Vaccinium-type	Vaccinium-type	DWAR	1	0.10660981
Kolaczek_f16	Ambrosia artemisiifolia-type	Ambrosia artemisiifolia-type	HERB	6	0.63965885
Kolaczek_f16	Apiaceae undifferentiated	Apiaceae	HERB	10	1.0660981
Kolaczek_f16	Artemisia	Artemisia	HERB	16	1.7057569
Kolaczek_f16	Aster-type	Aster-type	HERB	5	0.53304904
Kolaczek_f16	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	5	0.53304904
Kolaczek_f16	Brassicaceae undifferentiated	Brassicaceae undifferentiated	HERB	6	0.63965885
Kolaczek_f16	Cerastium-type	Cerastium-type	HERB	1	0.10660981
Kolaczek_f16	Cerealia-type	Cerealia-type	HERB	29	3.0916844
Kolaczek_f16	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	9	0.95948827
Kolaczek_f16	Epilobium undifferentiated	Epilobium undifferentiated	HERB	1	0.10660981
Kolaczek_f16	Filipendula	Filipendula	HERB	2	0.21321962
Kolaczek_f16	Galium-type	Galium-type	HERB	4	0.42643923
Kolaczek_f16	Lotus-type	Lotus-type	HERB	1	0.10660981
Kolaczek_f16	Lysimachia thyrsiflora	Lysimachia vulgaris-type	HERB	3	0.31982942
Kolaczek_f16	Anthemis-type	Matricaria-type	HERB	5	0.53304904
Kolaczek_f16	Mentha-type	Mentha-type	HERB	2	0.21321962
Kolaczek_f16	Phragmites australis-type	Phragmites australis-type	HERB	34	3.6247335
Kolaczek_f16	Plantago lanceolata	Plantago lanceolata-type	HERB	12	1.2793177
Kolaczek_f16	Plantago major	Plantago major	HERB	1	0.10660981
Kolaczek_f16	Poaceae undifferentiated	Poaceae	HERB	67	7.1428571
Kolaczek_f16	Potentilla-type	Potentilla-type	HERB	1	0.10660981
Kolaczek_f16	Ranunculus acris-type	Ranunculus acris-type	HERB	6	0.63965885
Kolaczek_f16	Rumex acetosa-type	Rumex acetosa-type	HERB	10	1.0660981
Kolaczek_f16	Rumex acetosella-type	Rumex acetosella	HERB	8	0.85287846
Kolaczek_f16	Secale cereale	Secale cereale	HERB	38	4.0511727
Kolaczek_f16	Sinapis-type	Sinapis-type	HERB	2	0.21321962
Kolaczek_f16	Solanum dulcamara	Solanum dulcamara	HERB	1	0.10660981
Kolaczek_f16	Trifolium repens-type	Trifolium repens-type	HERB	2	0.21321962
Kolaczek_f16	Urtica	Urtica	HERB	17	1.8123667
Kolaczek_f16	Anthoceros	Anthoceros/Phaeoceros	BRYO	2	0.21321962
Kolaczek_f16	Dryopteris filix-mas	Dryopteris filix-mas-type	VACR	1	0.10660981
Kolaczek_f16	Equisetum	Equisetum	VACR	42	4.4776119
Kolaczek_f16	Monolete fern spores	Monolete fern spores	VACR	4	0.42643923
Kolaczek_f16	Caltha-type	Caltha-type	HELO	23	2.4520256
Kolaczek_f16	Cyperaceae undifferentiated	Cyperaceae undifferentiated	AQUA	368	39.232409
Kolaczek_f16	Myriophyllum spicatum	Myriophyllum spicatum	AQUA	4	0.42643923
Kolaczek_f16	Myriophyllum verticillatum	Myriophyllum verticillatum	AQUA	2	0.21321962
Kolaczek_f16	Potamogeton sect. Eupotamogeton	Potamogeton sect. Eupotamogeton	AQUA	5	0.53304904
Kolaczek_f16	Sparganium minimum	Sparganium minimum	AQUA	2	0.21321962
Kolaczek_f16	Typha latifolia	Typha latifolia	HELO	3	0.31982942
Kolaczek_f16	Indeterminable: corroded	Indeterminable: corroded	INUN	6	
Kolaczek_f16	Indeterminable: degraded	Indeterminable: degraded	INUN	2	
Kolaczek_f16	Varia	Indeterminable: unknown	INUN	9	
Kolaczek_f16	cf. Humulus lupulus	cf. Humulus lupulus	INUN	2	
Kolaczek_f16	Lycopodium (counted)	Lycopodium (counted)	NOPO	186	
