samplename	original_varname	acc_varname	groupid	count	percentage
Kolaczek_i14	Alnus undiff.	Alnus	TRSH	28	5.01
Kolaczek_i14	Betula undiff.	Betula	TRSH	93	16.64
Kolaczek_i14	Calluna vulgaris	Calluna vulgaris	TRSH	6	1.07
Kolaczek_i14	Carpinus betulus	Carpinus betulus	TRSH	12	2.15
Kolaczek_i14	Corylus avellana	Corylus	TRSH	3	0.54
Kolaczek_i14	Fagus sylvatica	Fagus	TRSH	2	0.36
Kolaczek_i14	Picea abies	Picea abies-type	TRSH	36.5	6.53
Kolaczek_i14	Pinus sylvestris t.	Pinus sylvestris-type	TRSH	180.5	32.29
Kolaczek_i14	Quercus	Quercus	TRSH	6	1.07
Kolaczek_i14	Salix undiff.	Salix	TRSH	2	0.36
Kolaczek_i14	Tilia cordata	Tilia cordata-type	TRSH	1	0.18
Kolaczek_i14	Ulmus	Ulmus/Zelkova	TRSH	2	0.36
Kolaczek_i14	Ambrosia-type	Ambrosia/Xanthium	HERB	3	0.54
Kolaczek_i14	Artemisia	Artemisia	HERB	2	0.36
Kolaczek_i14	Centaurea cyanus	Centaurea cyanus-type	HERB	1	0.18
Kolaczek_i14	Cerealia undiff.	Cerealia-type	HERB	2	0.36
Kolaczek_i14	Cyperaceae undiff.	Cyperaceae	HERB	1	0.18
Kolaczek_i14	Humulus lupulus cf.	Humulus lupulus	HERB	2	0.36
Kolaczek_i14	Jasione-type	Jasione montana-type	HERB	1	0.18
Kolaczek_i14	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.18
Kolaczek_i14	Poaceae undiff.	Poaceae	HERB	13	2.33
Kolaczek_i14	Rumex acetosa-type	Rumex acetosa-type	HERB	2	0.36
Kolaczek_i14	Trifolium repens	Trifolium repens-type	HERB	1	0.18
Kolaczek_i14	Urtica undiff.	Urtica	HERB	4	0.72
Kolaczek_i14	Sphagnum	Sphagnum	BRYO	154	27.55
