samplename	original_varname	acc_varname	groupid	count	percentage
Kunes_a35	Abies	Abies	TRSH	1	0.16
Kunes_a35	Alnus viridis	Alnus viridis	TRSH	1	0.16
Kunes_a35	Betula	Betula	TRSH	310	48.21
Kunes_a35	Betula nana	Betula nana-type	DWAR	13	2.02
Kunes_a35	Empetrum-group	Empetrum nigrum	DWAR	1	0.16
Kunes_a35	Juglans	Juglans	TRSH	2	0.31
Kunes_a35	Larix/Pseudotsuga	Larix/Pseudotsuga	TRSH	73	11.35
Kunes_a35	Picea	Picea	TRSH	4	0.62
Kunes_a35	Pinus cembra-type	Pinus cembra-type	TRSH	17	2.64
Kunes_a35	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	22	3.42
Kunes_a35	Populus	Populus	TRSH	4	0.62
Kunes_a35	Salix	Salix	TRSH	4	0.62
Kunes_a35	Vaccinium-type	Vaccinium-type	DWAR	2	0.31
Kunes_a35	Allium-type	Allium-type	HERB	1	0.16
Kunes_a35	Apiaceae	Apiaceae	HERB	2	0.31
Kunes_a35	Bupleurum-type	Apiaceae	HERB	3	0.47
Kunes_a35	Artemisia	Artemisia	HERB	84	13.06
Kunes_a35	Compositae subf. Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.16
Kunes_a35	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.31
Kunes_a35	Brassicaceae	Brassicaceae	HERB	1	0.16
Kunes_a35	Chenopodiaceae pro parte	Chenopodiaceae/Amaranthaceae	HERB	4	0.62
Kunes_a35	Filipendula	Filipendula	HERB	2	0.31
Kunes_a35	Gentianaceae	Gentianaceae	HERB	1	0.16
Kunes_a35	Cannabaceae	Humulus/Cannabis	HERB	14	2.18
Kunes_a35	Vicia-type	Lathyrus/Vicia-type	HERB	1	0.16
Kunes_a35	Plantago media/major-type	Plantago major/P. media-type	HERB	10	1.56
Kunes_a35	Poaceae	Poaceae	HERB	21	3.27
Kunes_a35	Ranunculus acris-type	Ranunculus acris-type	HERB	3	0.47
Kunes_a35	Rubiaceae	Rubiaceae	HERB	1	0.16
Kunes_a35	Rumex acetosa-type	Rumex acetosa-type	HERB	1	0.16
Kunes_a35	Sanguisorba officinalis	Sanguisorba officinalis	HERB	10	1.56
Kunes_a35	Thalictrum	Thalictrum	HERB	6	0.93
Kunes_a35	Triticum-type	Triticum-type	HERB	1	0.16
Kunes_a35	Urtica	Urtica	HERB	16	2.49
Kunes_a35	Athyrium filix-femina	Athyrium filix-femina	VACR	1	0.16
Kunes_a35	Monolete fern spores	Monolete fern spores	VACR	2	0.31
Kunes_a35	Athyrium distentifolium	Woodsia-type	VACR	1	0.16
Kunes_a35	Cyperaceae	Cyperaceae	AQUA	4	0.62
Kunes_a35	Sparganium-type	Sparganium-type	AQUA	1	0.16
