	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Kunes_a84	1	7	1	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	0.93582888
1	Kunes_a84	572	9	151	Alnus viridis	Alnus viridis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	1.2032086
2	Kunes_a84	5	317	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	42.379679
3	Kunes_a84	1373	68	149	Betula nana	Betula nana-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	748	9.0909091
4	Kunes_a84	3221	8	3221	Caragana	Caragana	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	1.0695187
5	Kunes_a84	19	19	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	2.540107
6	Kunes_a84	3852	85	147	Pinus cembra-type	Pinus cembra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	11.363636
7	Kunes_a84	1236	22	148	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	2.9411765
8	Kunes_a84	25	3	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	748	0.40106952
9	Kunes_a84	2964	2	36	Apiaceae undifferentiated	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	748	0.26737968
10	Kunes_a84	37	108	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	748	14.438503
11	Kunes_a84	42	1	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	748	0.13368984
12	Kunes_a84	3214	2	3214	Cannabaceae	Cannabaceae	HERB	Herbs	HERB	True	True	Herbs	5	748	0.26737968
13	Kunes_a84	3347	4	3347	Chenopodiaceae p.p.	Chenopodiaceae p.p.	HERB	Herbs	HERB	True	True	Herbs	5	748	0.53475936
14	Kunes_a84	3381	1	3381	Compositae subfam. Asteroideae	Compositae subfam. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	748	0.13368984
15	Kunes_a84	61	7	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	748	0.93582888
16	Kunes_a84	624	1	624	Lilium	Lilium	HERB	Herbs	HERB	True	True	Herbs	5	748	0.13368984
17	Kunes_a84	622	8	622	Lotus-type	Lotus-type	HERB	Herbs	HERB	True	True	Herbs	5	748	1.0695187
18	Kunes_a84	106	25	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	748	3.342246
19	Kunes_a84	2934	2	251	Saussurea-type	Saussurea-type	HERB	Herbs	HERB	True	True	Herbs	5	748	0.26737968
20	Kunes_a84	137	7	137	Thalictrum	Thalictrum	HERB	Herbs	HERB	True	True	Herbs	5	748	0.93582888
21	Kunes_a84	4228	1	4228	Trifolium badium-type	Trifolium badium-type	HERB	Herbs	HERB	True	True	Herbs	5	748	0.13368984
22	Kunes_a84	663	40	663	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	748	5.3475936
23	Kunes_a84	3747	1	167	Monolete fern spores	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	748	0.13368984
24	Kunes_a84	1108	4	197	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	748	
