samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Kunes_a97	560	1	321	Abies	Abies	TRSH
Kunes_a97	6	4	6	Apiaceae	Apiaceae	HERB
Kunes_a97	7	65	7	Artemisia	Artemisia	HERB
Kunes_a97	215	1	215	Athyrium filix-femina	Athyrium filix-femina	VACR
Kunes_a97	1363	154	127	Betula nana	Betula nana-type	DWAR
Kunes_a97	3652	2	205	Cannabaceae	Humulus/Cannabis	HERB
Kunes_a97	21	2	21	Cerastium	Cerastium-type	HERB
Kunes_a97	45	4	45	Filipendula	Filipendula	HERB
Kunes_a97	2336	12	123	Larix/Pseudotsuga	Larix/Pseudotsuga	TRSH
Kunes_a97	1072	1	3	Matricaria-type	Matricaria-type	HERB
Kunes_a97	4193	1	146	Monolete fern spores	Monolete fern spores	VACR
Kunes_a97	126	17	126	Picea	Picea	TRSH
Kunes_a97	4298	505	124	Pinus cembra-type	Pinus cembra-type	TRSH
Kunes_a97	1226	9	125	Pinus sylvestris-type	Pinus sylvestris-type	TRSH
Kunes_a97	4327	1	458	Plantago media/major-type	Plantago major/P. media-type	HERB
Kunes_a97	80	110	80	Poaceae	Poaceae	HERB
Kunes_a97	625	1	625	Polygonum bistorta	Polygonum bistorta	HERB
Kunes_a97	93	1	93	Rubiaceae	Rubiaceae	HERB
Kunes_a97	634	1	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Kunes_a97	99	4	99	Salix	Salix	TRSH
Kunes_a97	2925	2	235	Saussurea-type	Saussurea-type	HERB
Kunes_a97	112	2	112	Thalictrum	Thalictrum	HERB
Kunes_a97	652	2	652	Urtica	Urtica	HERB
Kunes_a97	12	17	12	Betula	Betula	TRSH
Kunes_a97	630	1	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Kunes_a97	3575	1	1108	Aruncus-type	Aruncus/Spiraea	HERB
Kunes_a97	3787	18	24	Chenopodiaceae pro parte	Chenopodiaceae/Amaranthaceae	HERB
Kunes_a97	3868	2	3868	Cyperaceae	Cyperaceae	AQUA
