	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Lapteva_a39	175	1	175	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	467	0.21413276
1	Lapteva_a39	2123	87	150	Betula pubescens-type	Betula pubescens-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	467	18.62955
2	Lapteva_a39	799	171	148	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	467	36.616702
3	Lapteva_a39	173	6	21	Quercus robur-type	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	467	1.2847966
4	Lapteva_a39	118	6	118	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	467	1.2847966
5	Lapteva_a39	4261	2	4261	Ulmus glabra-type	Ulmus glabra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	467	0.42826552
6	Lapteva_a39	36	4	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	467	0.85653105
7	Lapteva_a39	37	70	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	467	14.989293
8	Lapteva_a39	42	1	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	467	0.21413276
9	Lapteva_a39	46	3	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	467	0.64239829
10	Lapteva_a39	50	12	50	Cerealia	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	467	2.5695931
11	Lapteva_a39	52	15	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	467	3.2119914
12	Lapteva_a39	3381	3	3381	Compositae subfam. Asteroideae	Compositae subfam. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	467	0.64239829
13	Lapteva_a39	735	1	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	467	0.21413276
14	Lapteva_a39	106	65	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	467	13.91863
15	Lapteva_a39	159	1	159	Polygonaceae	Polygonaceae	HERB	Herbs	HERB	True	True	Herbs	5	467	0.21413276
16	Lapteva_a39	119	13	119	Rubiaceae	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	467	2.7837259
17	Lapteva_a39	1198	2	487	Sanguisorba officinalis	Sanguisorba officinalis	HERB	Herbs	HERB	True	True	Herbs	5	467	0.42826552
18	Lapteva_a39	193	1	193	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	467	0.21413276
19	Lapteva_a39	168	3	168	Bryales	Bryophyte spores	BRYO	Bryophytes	VACR	True	True	Ferns	6	467	0.64239829
20	Lapteva_a39	3630	13	3630	Indeterminable: undifferentiated	Indeterminable: undifferentiated	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	467	
