samplename	original_varname	acc_varname	groupid	count	percentage
Lapteva_a4	Betula pubescens-type	Betula pubescens-type	TRSH	26	5.6155508
Lapteva_a4	Larix	Larix/Pseudotsuga	TRSH	1	0.21598272
Lapteva_a4	Pinus sylvestris	Pinus sylvestris-type	TRSH	411	88.768898
Lapteva_a4	Apiaceae	Apiaceae	HERB	1	0.21598272
Lapteva_a4	Artemisia	Artemisia	HERB	3	0.64794816
Lapteva_a4	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	5	1.0799136
Lapteva_a4	Compositae subfam. Asteroideae	Compositae subfam. Asteroideae	HERB	1	0.21598272
Lapteva_a4	Compositae subfam. Cichorioideae	Compositae subfam. Cichorioideae	HERB	1	0.21598272
Lapteva_a4	Convolvulus arvensis-type	Convolvulus arvensis-type	HERB	1	0.21598272
Lapteva_a4	Cyperaceae	Cyperaceae	HERB	4	0.86393089
Lapteva_a4	Poaceae	Poaceae	HERB	1	0.21598272
Lapteva_a4	Bryales	Bryophyte spores	BRYO	8	1.7278618
Lapteva_a4	Indeterminable: undifferentiated	Indeterminable: undifferentiated	INUN	3	
