samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Lapteva_a88	560	12	321	Abies	Abies	TRSH
Lapteva_a88	155	9	155	Alnus glutinosa-type	Alnus glutinosa-type	TRSH
Lapteva_a88	6	5	6	Apiaceae	Apiaceae	HERB
Lapteva_a88	7	24	7	Artemisia	Artemisia	HERB
Lapteva_a88	18	7	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Lapteva_a88	24	11	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Lapteva_a88	3822	14	160	Compositae subf. Asteroideae	Asteraceae subf. Asteroideae	HERB
Lapteva_a88	3824	1	25	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Lapteva_a88	3868	2	3868	Cyperaceae	Cyperaceae	AQUA
Lapteva_a88	130	2	130	Ericaceae	Ericales (tetrad)	DWAR
Lapteva_a88	3958	4	3958	Fabaceae	Fabaceae	INUN
Lapteva_a88	59	2	59	Lamiaceae	Lamiaceae	HERB
Lapteva_a88	182	11	182	Lycopodium clavatum-type	Lycopodium clavatum-type	VACR
Lapteva_a88	137	1	137	Onagraceae	Onagraceae	HERB
Lapteva_a88	1361	183	124	Pinus sibirica	Pinus cembra-type	TRSH
Lapteva_a88	724	2	270	Plantago	Plantago	HERB
Lapteva_a88	170	1	170	Polygalaceae	Polygala	HERB
Lapteva_a88	180	1	180	Pteridium aquilinum	Pteridium aquilinum	VACR
Lapteva_a88	4409	33	146	Pteridophyta undiff.	Monolete fern spores	VACR
Lapteva_a88	135	10	135	Ranunculaceae	Ranunculaceae	HERB
Lapteva_a88	92	13	92	Rosaceae	Rosaceae	TRSH
Lapteva_a88	1188	3	474	Sanguisorba officinalis	Sanguisorba officinalis	HERB
Lapteva_a88	173	1	173	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB
Lapteva_a88	144	9	144	Sphagnum	Sphagnum	BRYO
Lapteva_a88	153	1	153	Tilia cordata-type	Tilia cordata-type	TRSH
Lapteva_a88	176	3	176	Typha	Sparganium-type	AQUA
Lapteva_a88	80	23	80	Poaceae	Poaceae	HERB
Lapteva_a88	99	4	99	Salix	Salix	TRSH
Lapteva_a88	126	65	126	Picea	Picea	TRSH
Lapteva_a88	788	535	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Lapteva_a88	2115	403	128	Betula pubescens-type	Betula pubescens-type	TRSH
Lapteva_a88	4709	2	154	Ulmus glabra-type	Ulmus/Zelkova	TRSH
