samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Lapteva_b110	126	2	126	Picea	Picea	TRSH
Lapteva_b110	150	59	125	Pinus sylvestris=Pinus s/g Diploxylon	Pinus sylvestris-type	TRSH
Lapteva_b110	151	7	124	Pinus sibirica=Pinus s/g Haploxylon	Pinus cembra-type	TRSH
Lapteva_b110	128	51	128	Betula sect. Albae	Betula pubescens-type	TRSH
Lapteva_b110	156	200	127	Betula nana=Betula sect. Nanae	Betula nana-type	DWAR
Lapteva_b110	99	17	99	Salix	Salix	TRSH
Lapteva_b110	130	5	130	Ericaceae	Ericales (tetrad)	DWAR
Lapteva_b110	33	186	33	Cyperaceae	Cyperaceae	HERB
Lapteva_b110	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Lapteva_b110	6	1	6	Apiaceae	Apiaceae	HERB
Lapteva_b110	7	93	7	Artemisia	Artemisia	HERB
Lapteva_b110	160	3	160	Asteraceae/Asteroideae	Asteraceae subf. Asteroideae	HERB
Lapteva_b110	18	11	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Lapteva_b110	138	1	138	Polygonaceae	Polygonaceae	HERB
Lapteva_b110	169	1	169	Polemoniaceae	Polemoniaceae	HERB
Lapteva_b110	135	1	135	Ranunculaceae	Ranunculaceae	HERB
Lapteva_b110	92	3	92	Rosaceae	Rosaceae	TRSH
Lapteva_b110	177	3	177	Pollen gen. indet.	Indeterminable: unknown	INUN
Lapteva_b110	174	1	174	Valerianaceae	Valerianaceae	HERB
Lapteva_b110	147	93	147	Bryales	Bryophyte spores	BRYO
Lapteva_b110	182	5	182	Lycopodium clavatum-type	Lycopodium clavatum-type	VACR
Lapteva_b110	144	27	144	Sphagnum	Sphagnum	BRYO
Lapteva_b110	80	172	80	Poaceae	Poaceae	HERB
Lapteva_b110	157	12	129	Duschekia fruticosa= Alnus fruticosa-type	Alnus viridis	TRSH
Lapteva_b110	161	2	25	Asteraceae/Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Lapteva_b110	172	4	172	Rosaceae/Rubus chamaemorus	Rubus chamaemorus	HERB
