samplename	original_varname	acc_varname	groupid	count	percentage	notes
Lapteva_b27	Abies sibirica	Abies sibirica	TRSH	13	2.6694045	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	5	1.026694	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Betula sect. Albae	Betula pubescens-type	TRSH	96	19.712526	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Larix	Larix/Pseudotsuga	TRSH	3	0.61601643	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Picea	Picea	TRSH	100	20.533881	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Lapteva_b27	Pinus sibirica=Pinus s/g Haploxylon	Pinus cembra-type	TRSH	3	0.61601643	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Pinus sylvestris=Pinus s/g Diploxylon	Pinus sylvestris-type	TRSH	172	35.318275	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Rosaceae	Rosaceae	TRSH	1	0.20533881	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Lapteva_b27	Tilia cordata-type	Tilia cordata-type	TRSH	1	0.20533881	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Ulmus	Ulmus/Zelkova	TRSH	2	0.41067762	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Lapteva_b27	Apiaceae	Apiaceae	HERB	2	0.41067762	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Artemisia	Artemisia	HERB	5	1.026694	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Asteraceae/Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.20533881	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Asteraceae/Cichorioideae	Asteraceae subf. Cichorioideae	HERB	4	0.82135524	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.41067762	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	3	0.61601643	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Cyperaceae	Cyperaceae	HERB	2	0.41067762	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Oxalidaceae	Oxalis	HERB	1	0.20533881	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Poaceae	Poaceae	HERB	7	1.4373717	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Polygonaceae	Polygonaceae	HERB	1	0.20533881	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Ranunculaceae	Ranunculaceae	HERB	2	0.41067762	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Lapteva_b27	Bryales	Bryophyte spores	BRYO	3	0.61601643	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Polypodiophyta	Monolete fern spores	VACR	52	10.677618	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Ophyoglossaceae	Ophioglossaceae	VACR	6	1.2320329	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Lapteva_b27	Pollen gen. indet.	Indeterminable: unknown	INUN	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Lapteva_b27	Sphagnum	Sphagnum	NOPO	6		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
