samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Lazarova_a13	5	7	5	Alnus	Alnus	TRSH
Lazarova_a13	6	5	6	Apiaceae	Apiaceae	HERB
Lazarova_a13	7	2	7	Artemisia	Artemisia	HERB
Lazarova_a13	1325	2	160	Achillea/Aster-type	Asteraceae subf. Asteroideae	HERB
Lazarova_a13	1326	1	4	Allium-type	Allium-type	HERB
Lazarova_a13	12	15	12	Betula	Betula	TRSH
Lazarova_a13	18	2	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Lazarova_a13	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Lazarova_a13	136	3	136	Campanulaceae	Campanulaceae	HERB
Lazarova_a13	162	1	162	Boraginaceae	Boraginaceae	HERB
Lazarova_a13	563	5	16	Carpinus betulus	Carpinus betulus	TRSH
Lazarova_a13	962	1	962	Botrychium	Botrychium	VACR
Lazarova_a13	33	4	33	Cyperaceae	Cyperaceae	HERB
Lazarova_a13	192	23	42	Fagus	Fagus	TRSH
Lazarova_a13	201	22	31	Corylus	Corylus	TRSH
Lazarova_a13	1047	5	47	Fraxinus excelsior-type	Fraxinus excelsior-type	TRSH
Lazarova_a13	60	3	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Lazarova_a13	78	2	78	Platanus	Platanus	TRSH
Lazarova_a13	80	22	80	Poaceae	Poaceae	HERB
Lazarova_a13	126	450	126	Picea	Picea	TRSH
Lazarova_a13	146	3	146	Polypodiaceae	Monolete fern spores	VACR
Lazarova_a13	1049	666	125	Pinus diploxylon-type	Pinus sylvestris-type	TRSH
Lazarova_a13	1331	1	458	Plantago media/major	Plantago major/P. media-type	HERB
Lazarova_a13	89	1	89	Rhamnus	Rhamnus-type	TRSH
Lazarova_a13	135	13	135	Ranunculaceae	Ranunculaceae	HERB
Lazarova_a13	189	17	189	Quercus	Quercus	TRSH
Lazarova_a13	639	2	639	Saxifragaceae	Saxifragaceae	HERB
Lazarova_a13	727	1	94	Rumex	Rumex/Oxyria	HERB
Lazarova_a13	1333	1	1242	Taraxacum-type	Crepis-type	HERB
Lazarova_a13	1098	2	177	Varia	Indeterminable: unknown	INUN
Lazarova_a13	154	2	154	Ulmus	Ulmus/Zelkova	TRSH
Lazarova_a13	652	1	652	Urtica	Urtica	HERB
Lazarova_a13	1233	1	1199	Triticum-type	Triticum-type	HERB
Lazarova_a13	1335	1	653	Verbascum-type	Verbascum	HERB
Lazarova_a13	1035	16	70	Carpinus orientalis/Ostrya	Ostrya/Carpinus orientalis	TRSH
Lazarova_a13	92	2	92	Rosaceae	Rosaceae	TRSH
