samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Leipe_a11	2902	170	2902	Marker, found	Marker (counted)	NOPO
Leipe_a11	2905	1	718	Pollen, degraded	Indeterminable: degraded	INUN
Leipe_a11	2906	2	999	Pollen, concealed	Indeterminable: concealed	INUN
Leipe_a11	2907	4	1925	Pollen, crumpled	Indeterminable: crumpled	INUN
Leipe_a11	12	2	12	Betula	Betula	TRSH
Leipe_a11	126	3.5	126	Picea	Picea	TRSH
Leipe_a11	560	4.5	321	Abies	Abies	TRSH
Leipe_a11	576	10.5	340	Cedrus	Cedrus	TRSH
Leipe_a11	738	1	203	Juniperus-type	Juniperus-type	TRSH
Leipe_a11	1226	0.5	125	Pinus sylvestris-type	Pinus sylvestris-type	TRSH
Leipe_a11	2892	11	75	Pinus undifferentiated	Pinus	TRSH
Leipe_a11	33	126	33	Cyperaceae	Cyperaceae	HERB
Leipe_a11	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Leipe_a11	1048	2	479	Hippophae	Hippophae rhamnoides	TRSH
Leipe_a11	1232	1	107	Sorbus-type	Sorbus-type	TRSH
Leipe_a11	2897	1	130	Ericaceae undifferentiated	Ericales (tetrad)	DWAR
Leipe_a11	2911	1	189	Quercus cf. Q. semecarpifolia	Quercus	TRSH
Leipe_a11	2912	1	85	Quercus subgen. Cyclobalanopsis-type	Quercus ilex-type	TRSH
Leipe_a11	7	15	7	Artemisia	Artemisia	HERB
Leipe_a11	40	1	40	Euphorbia	Euphorbia	HERB
Leipe_a11	589	5	3	Anthemis-type	Matricaria-type	HERB
Leipe_a11	597	1	11	Aster-type	Aster-type	HERB
Leipe_a11	1078	7	262	Polygonum aviculare-type	Polygonum aviculare-type	HERB
Leipe_a11	1333	1	1242	Taraxacum-type	Crepis-type	HERB
Leipe_a11	2925	1	235	Saussurea-type	Saussurea-type	HERB
Leipe_a11	2926	1	25	Scorzonera	Asteraceae subf. Cichorioideae	HERB
Leipe_a11	13	1	13	Brassicaceae	Brassicaceae	HERB
Leipe_a11	1067	1	607	Gentiana pneumonanthe-type	Gentiana pneumonanthe-type	HERB
Leipe_a11	1231	1	1231	Silene vulgaris-type	Silene vulgaris-type	HERB
Leipe_a11	1779	1	132	Silene-type	Silene-type	HERB
Leipe_a11	2429	2	274	Ranunculus-type	Ranunculus-type	HERB
Leipe_a11	2937	1	2937	Gentianella tenella-type	Gentianella tenella-type	HERB
Leipe_a11	2939	1	2939	Ophelia-type	Ophelia-type	HERB
Leipe_a11	764	2	764	Cannabis	Cannabis sativa	HERB
Leipe_a11	1075	1	60	Plantago lanceolata-type	Plantago lanceolata-type	HERB
Leipe_a11	1277	2	225	Solanum nigrum-type	Solanum nigrum-type	HERB
Leipe_a11	1681	2	1681	Verbenaceae	Verbenaceae	HERB
Leipe_a11	2805	1	105	Sedum-type	Sedum-type	HERB
Leipe_a11	2893	4	125	Pinus subgen. Diploxylon	Pinus sylvestris-type	TRSH
Leipe_a11	2894	44	124	Pinus subgen. Haploxylon	Pinus cembra-type	TRSH
Leipe_a11	2919	22	80	Poaceae undifferentiated	Poaceae	HERB
Leipe_a11	2922	90	24	Chenopodiaceae/Amaranthaceae undifferentiated	Chenopodiaceae/Amaranthaceae	HERB
Leipe_a11	2927	2	25	Asteraceae subfam. Cichorioideae undifferentiated	Asteraceae subf. Cichorioideae	HERB
Leipe_a11	2928	1	1242	Hieracium-type	Crepis-type	HERB
Leipe_a11	2930	3	2930	Polygonum polycnemoides-type	Polygonum polycnemoides	HERB
Leipe_a11	2931	5	2931	Knorringia	Knorringia	HERB
Leipe_a11	2942	6	1238	Arenaria-type	Arenaria	HERB
Leipe_a11	2946	1	2367	Primula clusiana/hirsuta-type	Primula hirsuta-type	HERB
Leipe_a11	2950	1	2950	Veronica/Lamium album-type	Veronica/Lamium album-type	HERB
