samplename	original_varname	acc_varname	groupid	count	percentage	notes
Leipe_b9	Abies	Abies	TRSH	18	4.8128342	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leipe_b9	Alnus glutinosa	Alnus glutinosa-type	TRSH	15	4.0106952	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Alnus fruticosa	Alnus viridis	TRSH	4	1.0695187	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leipe_b9	Betula sect. Nanae	Betula nana-type	DWAR	2	0.53475936	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Betula sect. Albae	Betula pubescens-type	TRSH	210	56.149733	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Carpinus	Carpinus betulus	TRSH	1	0.26737968	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Cryptomeria	Cryptomeria-type	TRSH	2	0.53475936	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Hydrangea	Hydrangea	TRSH	1	0.26737968	GroupID taken from spreadsheet
Leipe_b9	Pinaceae	Pinaceae	TRSH	40	10.695187	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Pinus subgen. Haploxylon	Pinus cembra-type	TRSH	19	5.0802139	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Pinus subgen. Diploxylon	Pinus sylvestris-type	TRSH	2	0.53475936	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Quercus	Quercus	TRSH	9	2.4064171	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leipe_b9	Rhus-type	Rhus-type	TRSH	2	0.53475936	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Rosaceae	Rosaceae	TRSH	1	0.26737968	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Leipe_b9	Salix	Salix	TRSH	1	0.26737968	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leipe_b9	Ulmus	Ulmus/Zelkova	TRSH	2	0.53475936	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leipe_b9	Adoxaceae	Adoxaceae	HERB	1	0.26737968	GroupID taken from spreadsheet
Leipe_b9	Artemisia	Artemisia	HERB	3	0.80213904	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leipe_b9	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	3	0.80213904	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Cyperaceae	Cyperaceae	HERB	5	1.3368984	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leipe_b9	Herbs	Herbs	UPHE	22	5.8823529	GroupID taken from spreadsheet
Leipe_b9	Papaveraceae	Papaveraceae	HERB	1	0.26737968	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leipe_b9	Poaceae	Poaceae	HERB	5	1.3368984	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leipe_b9	Primulaceae	Primulaceae	HERB	1	0.26737968	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leipe_b9	Saxifragaceae	Saxifragaceae	HERB	2	0.53475936	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leipe_b9	Asteraceae senecio-type	Senecio-type	HERB	1	0.26737968	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Centropyxis sp.	Centropyxis	ALGA	7	1.8716578	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Pollen, terrestrial	Indeterminable: unknown	INUN	3		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Indeterminata	Indeterminable: unknown	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Trees and shrubs	Indeterminable: unknown	INUN	329		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Pollen total	Indeterminable: unknown	INUN	354		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Arcella sp.	Arcella	RHIZ	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Assulina muscorum	Assulina muscorum	RHIZ	12		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Glomus	Glomus	FUNG	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Lycopodium clavatum	Lycopodium clavatum	VACR	1	0.26737968	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leipe_b9	Marker	Marker (counted)	NOPO	171		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leipe_b9	Stomata	Stomata	VEMI	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
