samplename	original_varname	acc_varname	groupid	count	percentage
Leroy_a2	Acer	Acer campestre-type	TRSH	1	1.0526316
Leroy_a2	Carpinus betulus-type	Carpinus betulus-type	TRSH	41	43.157895
Leroy_a2	Fagus	Fagus	TRSH	20	21.052632
Leroy_a2	Parrotia cf. P. persica	Parrotia cf. P. persica	TRSH	5	5.2631579
Leroy_a2	Vitis	Vitis	TRSH	2	2.1052632
Leroy_a2	Umbelliferae	Apiaceae	HERB	2	2.1052632
Leroy_a2	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	3	3.1578947
Leroy_a2	Cyperaceae	Cyperaceae	HERB	3	3.1578947
Leroy_a2	Labiatae	Lamiaceae	HERB	1	1.0526316
Leroy_a2	Plantago	Plantago	HERB	1	1.0526316
Leroy_a2	Gramineae	Poaceae	HERB	13	13.684211
Leroy_a2	Rubiaceae	Rubiaceae	HERB	1	1.0526316
Leroy_a2	Typha/Sparganium	Typha/Sparganium	AQUA	6	6.3157895
Leroy_a2	Indeterminable: unknown	Indeterminable: unknown	INUN	2	
Leroy_a2	Ceratophyllum: spines	Ceratophyllum: spines	VEMI	1	
Leroy_a2	Gloeotrichia	Gloeotrichia	CYAN	1	
Leroy_a2	Monolete psilate	Monolete fern spores	VACR	1	1.0526316
Leroy_a2	Pteridium aquilinum-type	Pteridium aquilinum-type	VACR	1	1.0526316
