samplename	original_varname	acc_varname	groupid	count	percentage
Leroy_c3	Alnus	Alnus	TRSH	553	91.25
Leroy_c3	Betula	Betula	TRSH	1	0.17
Leroy_c3	Carpinus	Carpinus betulus	TRSH	5	0.83
Leroy_c3	Parrotia persica	Parrotia persica	TRSH	1	0.17
Leroy_c3	Platanus	Platanus	TRSH	1	0.17
Leroy_c3	Pterocarya	Pterocarya	TRSH	1	0.17
Leroy_c3	Ulmus/Zelkova	Ulmus/Zelkova	TRSH	2	0.33
Leroy_c3	Artemisia	Artemisia	HERB	10	1.65
Leroy_c3	Amaranthaceae/Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	5	0.83
Leroy_c3	Poaceae	Poaceae	HERB	8	1.32
Leroy_c3	Monolete psilate	Monolete fern spores	VACR	11	1.82
Leroy_c3	Thelypteris palustris-type	Thelypteris palustris	VACR	8	1.32
Leroy_c3	Typha/Sparganium	Typha/Sparganium	AQUA	1	0.17
Leroy_c3	Indeterminable: unknown	Indeterminable: unknown	INUN	1	
Leroy_c3	Testate amoebae	Testate amoebae	NOPO	5	
Leroy_c3	Tetraploa	Tetraploa	FUNG	1	
