samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Leroy_c5	5	183	5	Alnus	Alnus	TRSH
Leroy_c5	7	31	7	Artemisia	Artemisia	HERB
Leroy_c5	1927	7	160	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB
Leroy_c5	3603	11	3603	Azolla: massulae	Azolla filiculoides	AQPT
Leroy_c5	13	1	13	Brassicaceae	Brassicaceae	HERB
Leroy_c5	188	1	188	Buxus	Buxus	TRSH
Leroy_c5	16	16	16	Carpinus	Carpinus betulus	TRSH
Leroy_c5	1065	1	22	Cerealia-type	Cerealia-type	HERB
Leroy_c5	201	1	31	Corylus	Corylus	TRSH
Leroy_c5	3868	24	3868	Cyperaceae	Cyperaceae	AQUA
Leroy_c5	192	1	42	Fagus	Fagus	TRSH
Leroy_c5	554	12	362	Glomus	Glomus	FUNG
Leroy_c5	4078	13	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Leroy_c5	1921	18	146	Monolete psilate	Monolete fern spores	VACR
Leroy_c5	4203	1	4203	Mougeotia	Mougeotia	CHLO
Leroy_c5	77	1	77	Pistacia	Pistacia	TRSH
Leroy_c5	1950	1	191	Pterocarya	Pterocarya	TRSH
Leroy_c5	189	1	189	Quercus	Quercus	TRSH
Leroy_c5	492	1	492	Solanaceae	Solanaceae	HERB
Leroy_c5	836	5	836	Tetraploa	Tetraploa	FUNG
Leroy_c5	808	27	734	Typha/Sparganium	Typha/Sparganium	AQUA
Leroy_c5	2400	2	154	Ulmus/Zelkova	Ulmus/Zelkova	TRSH
Leroy_c5	6	2	6	Apiaceae	Apiaceae	HERB
Leroy_c5	62	1	62	Liliaceae	Liliaceae-type	HERB
Leroy_c5	80	70	80	Poaceae	Poaceae	HERB
Leroy_c5	99	5	99	Salix	Salix	TRSH
Leroy_c5	163	1	163	Convolvulaceae	Convolvulaceae	HERB
Leroy_c5	193	1	193	Parrotia persica	Parrotia persica	TRSH
Leroy_c5	3525	21	24	Amaranthaceae/Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Leroy_c5	4659	4	859	Thelypteris palustris-type	Thelypteris palustris	VACR
Leroy_c5	93	1	93	Rubiaceae	Rubiaceae	HERB
