samplename	original_varname	acc_varname	groupid	count	percentage
Leroy_d9	Abies	Abies	TRSH	1	0.26
Leroy_d9	Alnus	Alnus	TRSH	5	1.32
Leroy_d9	Carpinus betulus-type	Carpinus betulus	TRSH	154	40.74
Leroy_d9	Castanea	Castanea sativa	TRSH	9	2.38
Leroy_d9	Corylus	Corylus	TRSH	6	1.59
Leroy_d9	Cupressaceae	Cupressaceae undiff.	TRSH	1	0.26
Leroy_d9	Ericaceae	Ericales (tetrad)	DWAR	1	0.26
Leroy_d9	Fagus	Fagus	TRSH	60	15.87
Leroy_d9	Fraxinus excelsior-type	Fraxinus excelsior-type	TRSH	1	0.26
Leroy_d9	Ilex	Ilex	TRSH	2	0.53
Leroy_d9	Juglans	Juglans	TRSH	5	1.32
Leroy_d9	Olea	Olea europaea	TRSH	3	0.79
Leroy_d9	Pinus	Pinus	TRSH	67	17.72
Leroy_d9	Quercus deciduous	Quercus robur-type	TRSH	11	2.91
Leroy_d9	Rosaceae	Rosaceae	TRSH	1	0.26
Leroy_d9	Salix	Salix	TRSH	4	1.06
Leroy_d9	Hedera	Hedera	LIAN	5	1.32
Leroy_d9	Vitis	Vitis	LIAN	1	0.26
Leroy_d9	Apiaceae	Apiaceae	HERB	1	0.26
Leroy_d9	Artemisia	Artemisia	HERB	1	0.26
Leroy_d9	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB	16	4.23
Leroy_d9	Amaranthaceae/Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	5	1.32
Leroy_d9	Liliaceae	Liliaceae-type	HERB	1	0.26
Leroy_d9	Mercurialis annua	Mercurialis annua	HERB	1	0.26
Leroy_d9	Poaceae	Poaceae	HERB	11	2.91
Leroy_d9	Poaceae (37 um)	Poaceae	HERB	1	0.26
Leroy_d9	Ranunculaceae	Ranunculaceae	HERB	2	0.53
Leroy_d9	Ranunculus acris-type	Ranunculus acris-type	HERB	1	0.26
Leroy_d9	Rumex	Rumex/Oxyria	HERB	1	0.26
Leroy_d9	Indeterminable: unknown	Indeterminable: unknown	INUN	19	
