samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Leroy_e6	5	41	5	Alnus	Alnus	TRSH
Leroy_e6	75	1	75	Pinus	Pinus	TRSH
Leroy_e6	563	7	16	Carpinus betulus	Carpinus betulus	TRSH
Leroy_e6	1945	1	37	Ephedra distachya-t.	Ephedra distachya-type	TRSH
Leroy_e6	1946	1	36	E. fragilis-t.	Ephedra fragilis-type	TRSH
Leroy_e6	6	2	6	Apiaceae	Apiaceae	HERB
Leroy_e6	7	14	7	Artemisia	Artemisia	HERB
Leroy_e6	13	1	13	Brassicaceae	Brassicaceae	HERB
Leroy_e6	18	6	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Leroy_e6	33	41	33	Cyperaceae	Cyperaceae	HERB
Leroy_e6	80	74	80	Poaceae	Poaceae	HERB
Leroy_e6	99	6	99	Salix	Salix	TRSH
Leroy_e6	192	4	42	Fagus	Fagus	TRSH
Leroy_e6	437	7	86	Quercus deciduous	Quercus robur-type	TRSH
Leroy_e6	707	51	24	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB
Leroy_e6	724	2	270	Plantago	Plantago	HERB
Leroy_e6	1950	1	191	Pterocarya	Pterocarya	TRSH
Leroy_e6	1954	1	154	Ulmus-Zelkova	Ulmus/Zelkova	TRSH
Leroy_e6	1955	5	25	Aster. liguliflorae	Asteraceae subf. Cichorioideae	HERB
Leroy_e6	1956	9	160	Aster. tubuliflorae	Asteraceae subf. Asteroideae	HERB
Leroy_e6	1962	26	22	Cerealia-t.	Cerealia-type	HERB
Leroy_e6	1964	1	1505	P. avic.-bistorta	Polygonum-type (tricolporate)	HERB
Leroy_e6	1981	1	177	Indeterminated	Indeterminable: unknown	INUN
Leroy_e6	717	35	177	Indeterminable	Indeterminable: unknown	INUN
Leroy_e6	1982	3	1982	Reworked	Reworked pollen	PREQ
Leroy_e6	1378	1	1378	Anthoceros	Anthoceros/Phaeoceros	BRYO
Leroy_e6	1921	1	146	Monolete psilate	Monolete fern spores	VACR
Leroy_e6	1972	2	1972	M. verticillatum	Myriophyllum spicatum/M. verticillatum	AQUA
Leroy_e6	1975	92	176	Typha-Sparganium	Sparganium-type	AQUA
Leroy_e6	1977	1	1977	Zannichellia palustris	Zannichellia	AQUA
Leroy_e6	1979	1	279	Trilete psilate	Trilete spore(s)	VACR
Leroy_e6	92	1	92	Rosaceae	Rosaceae	TRSH
