samplename	original_varname	acc_varname	groupid	count	percentage	notes
Leroy_i15	Alnus	Alnus	TRSH	2	0.88888889	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_i15	Betula	Betula	TRSH	1	0.44444444	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_i15	Buxus	Buxus	TRSH	1	0.44444444	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_i15	Ericaceae	Ericales (tetrad)	DWAR	4	1.7777778	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Fraxinus	Fraxinus	TRSH	1	0.44444444	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_i15	Olea	Olea europaea	TRSH	3	1.3333333	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Pinaceae	Pinaceae	TRSH	100	44.444444	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Platanus	Platanus	TRSH	5	2.2222222	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Quercus evergreen	Quercus ilex-type	TRSH	16	7.1111111	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Quercus deciduous	Quercus robur-type	TRSH	6	2.6666667	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Rosaceae	Rosaceae	TRSH	2	0.88888889	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Leroy_i15	Salix	Salix	TRSH	2	0.88888889	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_i15	Artemisia	Artemisia	HERB	4	1.7777778	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	A. tubuliflorae	Asteraceae subf. Asteroideae	HERB	2	0.88888889	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Asteraceae liguliflorae	Asteraceae subf. Cichorioideae	HERB	13	5.7777778	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Brassicaceae	Brassicaceae	HERB	2	0.88888889	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.44444444	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Cerealia	Cerealia-type	HERB	2	0.88888889	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.44444444	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Cyperaceae	Cyperaceae	HERB	22	9.7777778	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Fabaceae	Fabaceae	HERB	1	0.44444444	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Helianthemum	Helianthemum	HERB	1	0.44444444	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Lamiaceae	Lamiaceae	HERB	3	1.3333333	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Plantago	Plantago	HERB	5	2.2222222	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Poaceae	Poaceae	HERB	9	4	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Urtica dioica	Urtica dioica	HERB	1	0.44444444	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Lycopodium	Lycopodium	VACR	14	6.2222222	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_i15	Triletes psilate	Trilete spore(s)	VACR	1	0.44444444	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Typha-Sparganium	Sparganium-type	AQUA	1	0.44444444	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_i15	Indeterminated	Indeterminable: unknown	INUN	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_i15	Undeterminable	Indeterminable: unknown	INUN	5		GroupID taken from POLNET. Only one taxon matched that acc_varname.
