samplename	original_varname	acc_varname	groupid	count	percentage	notes
Leroy_j1	Acer	Acer campestre-type	TRSH	1	0.1345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Alnus	Alnus	TRSH	57	7.6716016	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Betula	Betula	TRSH	2	0.269179	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Carpinus betulus	Carpinus betulus	TRSH	25	3.3647376	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Corylus	Corylus	TRSH	2	0.269179	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Fagus	Fagus	TRSH	4	0.53835801	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Fraxinus	Fraxinus	TRSH	1	0.1345895	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Parrotia persica	Parrotia persica	TRSH	10	1.345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Pinus	Pinus	TRSH	1	0.1345895	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Platanus	Platanus	TRSH	1	0.1345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Pterocarya	Pterocarya	TRSH	3	0.40376851	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Q. sempervirens-t.	Quercus ilex-type	TRSH	1	0.1345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Quercus deciduous	Quercus robur-type	TRSH	9	1.2113055	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Salix	Salix	TRSH	1	0.1345895	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	1	0.1345895	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Leroy_j1	*sum	*sum	HERB	368	49.528937	GroupID taken from spreadsheet
Leroy_j1	Apiaceae	Apiaceae	HERB	2	0.269179	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	Artemisia	Artemisia	HERB	106	14.266487	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	Ast. tubuliflorae	Asteraceae subf. Asteroideae	HERB	4	0.53835801	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	Ast. liguliflorae	Asteraceae subf. Cichorioideae	HERB	6	0.80753701	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	Brassicaceae	Brassicaceae	HERB	4	0.53835801	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.269179	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Cerealia	Cerealia-type	HERB	2	0.269179	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	95	12.786003	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Cyperaceae	Cyperaceae	HERB	5	0.67294751	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	Plantaginaceae	Plantaginaceae	HERB	1	0.1345895	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	P. lanceolata-t.	Plantago lanceolata-type	HERB	1	0.1345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Poaceae	Poaceae	HERB	17	2.2880215	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	P. avic.-bistorta-t.	Polygonum-type (tricolporate)	HERB	1	0.1345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Sanguisorba minor	Sanguisorba minor-type	HERB	1	0.1345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Thalictrum	Thalictrum	HERB	2	0.269179	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Leroy_j1	Monoletes psilate	Monolete fern spores	VACR	3	0.40376851	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	M. non psilate	Monolete fern spores	VACR	2	0.269179	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Triletes psilate	Trilete spore(s)	VACR	2	0.269179	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Botryoccocus	Botryococcus	ALGA	13	1.7496635	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Pseudoschizaea	Pseudoschizaea	ALGA	1	0.1345895	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	*Concentration	*Concentration	CHAR	13591.178		GroupID taken from spreadsheet
Leroy_j1	Sum AP	Indeterminable: unknown	INUN	119		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Indeterminable	Indeterminable: unknown	INUN	25		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	sum total	Indeterminable: unknown	INUN	405		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Incertae sedis 5b	Indeterminable: unknown	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Incertae sedis 5d	Indeterminable: unknown	INUN	6		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Anabaena	Anabaena	CYAN	3		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Fungal spores	Fungal spore	FUNG	45		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Glomus	Glomus	FUNG	3		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Pterosperma	Pterosperma	INVE	10		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Reworked	Reworked pollen	PREQ	5		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Leroy_j1	Turbellarian	Turbellaria	PLAT	1		GroupID taken from spreadsheet
