samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Leroy_j3	2	1	2	Acer	Acer campestre-type	TRSH
Leroy_j3	5	94	5	Alnus	Alnus	TRSH
Leroy_j3	192	14	42	Fagus	Fagus	TRSH
Leroy_j3	193	8	193	Parrotia persica	Parrotia persica	TRSH
Leroy_j3	196	1	196	Diospyros	Diospyros	TRSH
Leroy_j3	201	1	31	Corylus	Corylus	TRSH
Leroy_j3	437	11	86	Quercus deciduous	Quercus robur-type	TRSH
Leroy_j3	2070	211	177	Sum AP	Indeterminable: unknown	INUN
Leroy_j3	7	39	7	Artemisia	Artemisia	HERB
Leroy_j3	13	3	13	Brassicaceae	Brassicaceae	HERB
Leroy_j3	18	1	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Leroy_j3	78	4	78	Platanus	Platanus	TRSH
Leroy_j3	90	1	90	Rhamnaceae	Rhamnaceae	TRSH
Leroy_j3	99	3	99	Salix	Salix	TRSH
Leroy_j3	442	1	68	Olea	Olea europaea	TRSH
Leroy_j3	707	32	24	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB
Leroy_j3	1950	1	191	Pterocarya	Pterocarya	TRSH
Leroy_j3	1954	5	154	Ulmus-Zelkova	Ulmus/Zelkova	TRSH
Leroy_j3	33	7	33	Cyperaceae	Cyperaceae	HERB
Leroy_j3	80	16	80	Poaceae	Poaceae	HERB
Leroy_j3	168	1	168	Plantaginaceae	Plantaginaceae	HERB
Leroy_j3	1975	1	176	Typha-Sparganium	Sparganium-type	AQUA
Leroy_j3	1978	1	146	M. non psilate	Monolete fern spores	VACR
Leroy_j3	2062	3	146	Monoletes psilate	Monolete fern spores	VACR
Leroy_j3	2064	2	279	Triletes psilate	Trilete spore(s)	VACR
Leroy_j3	2081	2	736	Urtic.-Moraceae	Urticaceae/Moraceae	HERB
Leroy_j3	2082	321	2082	*sum	*sum	HERB
Leroy_j3	717	39	177	Indeterminable	Indeterminable: unknown	INUN
Leroy_j3	1982	12	1982	Reworked	Reworked pollen	PREQ
Leroy_j3	2085	380	177	sum total	Indeterminable: unknown	INUN
Leroy_j3	2086	4570.5761	2086	*Concentration	*Concentration	CHAR
Leroy_j3	2087	3	2087	Anabaena	Anabaena	CYAN
Leroy_j3	2020	16	2020	Pterosperma	Pterosperma	INVE
Leroy_j3	2023	1	2023	Moss leaf	Moss: remains	MACR
Leroy_j3	2022	160	2022	Fungal spores	Fungal spore	FUNG
Leroy_j3	2094	3	672	Asterosporium	Fungi	FUNG
Leroy_j3	2095	1	318	Diporotheca	Diporotheca	FUNG
Leroy_j3	1980	1	1980	Pteris	Pteris	VACR
Leroy_j3	2091	1	2011	Azolla-Salvinia massula	Azolla/Salvinia	AQPT
Leroy_j3	554	13	362	Glomus	Glomus	FUNG
Leroy_j3	2097	1	731	Tillettia	Tilletia	FUNG
Leroy_j3	836	1	836	Tetraploa	Tetraploa	FUNG
Leroy_j3	2100	1	2100	t. 731	Type 731	UNPP
Leroy_j3	2024	6	733	Turbellarian	Turbellaria	PLAT
Leroy_j3	2103	5	177	Ostrac. Mandible	Indeterminable: unknown	INUN
Leroy_j3	563	55	16	Carpinus betulus	Carpinus betulus	TRSH
Leroy_j3	714	10	347	Cupressaceae	Cupressaceae undiff.	TRSH
Leroy_j3	2067	1	37	Ephedra major-type	Ephedra distachya-type	TRSH
Leroy_j3	2071	4	25	Ast. liguliflorae	Asteraceae subf. Cichorioideae	HERB
Leroy_j3	2072	5	160	Ast. tubuliflorae	Asteraceae subf. Asteroideae	HERB
