samplename	original_varname	acc_varname	groupid	count	percentage
Leroy_j4	Acer	Acer campestre-type	TRSH	3	0.42979943
Leroy_j4	Alnus	Alnus	TRSH	85	12.17765
Leroy_j4	Buxus	Buxus	TRSH	1	0.14326648
Leroy_j4	Carpinus betulus	Carpinus betulus	TRSH	45	6.4469914
Leroy_j4	Corylus	Corylus	TRSH	1	0.14326648
Leroy_j4	Cupressaceae	Cupressaceae undiff.	TRSH	7	1.0028653
Leroy_j4	Ephedra major-type	Ephedra distachya-type	TRSH	1	0.14326648
Leroy_j4	Fagus	Fagus	TRSH	12	1.7191977
Leroy_j4	Fraxinus	Fraxinus	TRSH	1	0.14326648
Leroy_j4	Hippophae	Hippophae rhamnoides	TRSH	1	0.14326648
Leroy_j4	Olea	Olea europaea	TRSH	1	0.14326648
Leroy_j4	Parrotia persica	Parrotia persica	TRSH	4	0.5730659
Leroy_j4	Pinus	Pinus	TRSH	3	0.42979943
Leroy_j4	Pistacia	Pistacia	TRSH	1	0.14326648
Leroy_j4	Pterocarya	Pterocarya	TRSH	5	0.71633238
Leroy_j4	Quercus deciduous	Quercus robur-type	TRSH	21	3.008596
Leroy_j4	Salix	Salix	TRSH	1	0.14326648
Leroy_j4	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	4	0.5730659
Leroy_j4	*sum	*sum	HERB	347	49.713467
Leroy_j4	Artemisia	Artemisia	HERB	48	6.8767908
Leroy_j4	Ast. tubuliflorae	Asteraceae subf. Asteroideae	HERB	3	0.42979943
Leroy_j4	Ast. liguliflorae	Asteraceae subf. Cichorioideae	HERB	3	0.42979943
Leroy_j4	Brassicaceae	Brassicaceae	HERB	4	0.5730659
Leroy_j4	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.28653295
Leroy_j4	Cerealia	Cerealia-type	HERB	3	0.42979943
Leroy_j4	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	58	8.3094556
Leroy_j4	Cyperaceae	Cyperaceae	HERB	6	0.85959885
Leroy_j4	Filipendula	Filipendula	HERB	1	0.14326648
Leroy_j4	Plantaginaceae	Plantaginaceae	HERB	1	0.14326648
Leroy_j4	Poaceae	Poaceae	HERB	18	2.5787966
Leroy_j4	Rumex	Rumex/Oxyria	HERB	1	0.14326648
Leroy_j4	Thalictrum	Thalictrum	HERB	2	0.28653295
Leroy_j4	Monoletes psilate	Monolete fern spores	VACR	1	0.14326648
Leroy_j4	Triletes psilate	Trilete spore(s)	VACR	3	0.42979943
Leroy_j4	Botryoccocus	Botryococcus	ALGA	1	0.14326648
Leroy_j4	Typha-Sparganium	Sparganium-type	AQUA	3	0.42979943
Leroy_j4	*Concentration	*Concentration	CHAR	5204.8093	
Leroy_j4	Sum AP	Indeterminable: unknown	INUN	197	
Leroy_j4	Indeterminated	Indeterminable: unknown	INUN	2	
Leroy_j4	Indeterminable	Indeterminable: unknown	INUN	31	
Leroy_j4	sum total	Indeterminable: unknown	INUN	399	
Leroy_j4	t. 119	Type 119	UNPP	1	
Leroy_j4	Ceratophyllum spines	Ceratophyllum: spines	VEMI	1	
Leroy_j4	Diporotheca	Diporotheca	FUNG	1	
Leroy_j4	Fungal spores	Fungal spore	FUNG	121	
Leroy_j4	Glomus	Glomus	FUNG	11	
Leroy_j4	Pterosperma	Pterosperma	INVE	31	
Leroy_j4	Reworked	Reworked pollen	PREQ	12	
Leroy_j4	Turbellarian	Turbellaria	PLAT	1	
