samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Lopatina_a18	80	33	80	Poaceae	Poaceae	HERB
Lopatina_a18	99	1	99	Salix	Salix	TRSH
Lopatina_a18	125	3	125	Pinus s/g Diploxylon	Pinus sylvestris-type	TRSH
Lopatina_a18	127	1	127	Betula sect. Nanae	Betula nana-type	DWAR
Lopatina_a18	128	2	128	Betula sect. Albae	Betula pubescens-type	TRSH
Lopatina_a18	129	1	129	Duschekia	Alnus viridis	TRSH
Lopatina_a18	18	1	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Lopatina_a18	133	3	133	Senecio	Senecio-type	HERB
Lopatina_a18	137	147	137	Onagraceae	Onagraceae	HERB
Lopatina_a18	138	1	138	Polygonaceae	Polygonaceae	HERB
Lopatina_a18	141	2	141	Rubus	Rubus	TRSH
Lopatina_a18	142	1	142	Selaginella rupestris (L.) Spring.	Selaginella rupestris	VACR
Lopatina_a18	143	1	143	Lycopodium	Lycopodium	VACR
Lopatina_a18	147	3	147	Bryales	Bryophyte spores	BRYO
