samplename	original_varname	acc_varname	groupid	count	percentage
Lopatina_a8	Alnus	Alnus	TRSH	2	1
Lopatina_a8	Duschekia	Alnus viridis	TRSH	40	20
Lopatina_a8	Betula sect. Nanae	Betula nana-type	DWAR	19	9.5
Lopatina_a8	Betula sect. Albae	Betula pubescens-type	TRSH	45	22.5
Lopatina_a8	Ericaceae	Ericales (tetrad)	DWAR	19	9.5
Lopatina_a8	Larix	Larix/Pseudotsuga	TRSH	1	0.5
Lopatina_a8	Pinus	Pinus	TRSH	9	4.5
Lopatina_a8	Pinus s/g Diploxylon	Pinus sylvestris-type	TRSH	4	2
Lopatina_a8	Salix	Salix	TRSH	5	2.5
Lopatina_a8	Artemisia	Artemisia	HERB	6	3
Lopatina_a8	Poaceae	Poaceae	HERB	45	22.5
Lopatina_a8	Senecio	Senecio-type	HERB	1	0.5
Lopatina_a8	Equisetum	Equisetum	VACR	3	1.5
Lopatina_a8	Sphagnum	Sphagnum	BRYO	1	0.5
