samplename	original_varname	acc_varname	groupid	count	percentage
Lopez_a190	Alnus	Alnus	TRSH	9	1.6949153
Lopez_a190	Calluna vulgaris	Calluna vulgaris	DWAR	2	0.37664783
Lopez_a190	Castanea	Castanea sativa	TRSH	1	0.18832392
Lopez_a190	Erica arborea-type	Erica arborea-type	DWAR	4	0.75329567
Lopez_a190	Fraxinus	Fraxinus	TRSH	2	0.37664783
Lopez_a190	Olea	Olea europaea	TRSH	6	1.1299435
Lopez_a190	Pinus pinaster	Pinus pinaster	TRSH	9	1.6949153
Lopez_a190	Pinus sylvestris/nigra-type	Pinus sylvestris-type	TRSH	43	8.0979284
Lopez_a190	Quercus deciduous	Quercus robur-type	TRSH	193	36.346516
Lopez_a190	Prunus/Rubus-type	Rosaceae (non-operculate)	TRSH	17	3.2015066
Lopez_a190	Salix	Salix	TRSH	3	0.56497175
Lopez_a190	Apiaceae	Apiaceae	HERB	1	0.18832392
Lopez_a190	Asphodelus albus-type	Asphodelus albus-type	HERB	2	0.37664783
Lopez_a190	Cruciferae	Brassicaceae	HERB	18	3.3898305
Lopez_a190	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	4	0.75329567
Lopez_a190	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	16	3.0131827
Lopez_a190	Cistus ladanifer	Cistus ladanifer-type	HERB	7	1.3182674
Lopez_a190	Erodium	Erodium	HERB	1	0.18832392
Lopez_a190	Cytisus/Genista-type	Genista-type	HERB	30	5.6497175
Lopez_a190	Anthemis-type	Matricaria-type	HERB	2	0.37664783
Lopez_a190	Campanula-type	Phyteuma-type	HERB	3	0.56497175
Lopez_a190	Plantago lanceolata-type	Plantago lanceolata-type	HERB	11	2.0715631
Lopez_a190	Poaceae undiff.	Poaceae	HERB	86	16.195857
Lopez_a190	Ranunculaceae	Ranunculaceae	HERB	17	3.2015066
Lopez_a190	Rumex acetosa-type	Rumex acetosa-type	HERB	23	4.3314501
Lopez_a190	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	1	0.18832392
Lopez_a190	Urtica dioica-type	Urtica dioica-type	HERB	11	2.0715631
Lopez_a190	Pteridium	Pteridium aquilinum	VACR	9	1.6949153
Lopez_a190	Cyperaceae	Cyperaceae	AQUA	6	1.1299435
Lopez_a190	Fabaceae undiff.	Fabaceae undiff.	INUN	5	
Lopez_a190	Sordaria	Sordaria-type	NOPO	9	
