	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Lopez_a342	4	6	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	1.1764706
1	Lopez_a342	5	58	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	11.372549
2	Lopez_a342	454	3	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	0.58823529
3	Lopez_a342	9	15	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	2.9411765
4	Lopez_a342	2541	2	468	Erica arborea-type	Erica arborea-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	0.39215686
5	Lopez_a342	13	12	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	2.3529412
6	Lopez_a342	749	3	28	Juniperus-type	Juniperus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	0.58823529
7	Lopez_a342	452	7	452	Pinus pinaster	Pinus pinaster	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	1.372549
8	Lopez_a342	3858	189	3858	Pinus pinea/halepensis-type	Pinus pinea/halepensis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	37.058824
9	Lopez_a342	3862	5	3862	Pinus sylvestris/nigra-type	Pinus sylvestris/nigra-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	0.98039216
10	Lopez_a342	22	5	22	Quercus evergreen	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	0.98039216
11	Lopez_a342	21	17	21	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	3.3333333
12	Lopez_a342	4044	12	4044	Rosaceae undiff,	Rosaceae undiff,	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	2.3529412
13	Lopez_a342	25	12	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	510	2.3529412
14	Lopez_a342	36	7	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	510	1.372549
15	Lopez_a342	37	1	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
16	Lopez_a342	460	2	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	510	0.39215686
17	Lopez_a342	494	15	42	Cruciferae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	510	2.9411765
18	Lopez_a342	46	1	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
19	Lopez_a342	780	1	52	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
20	Lopez_a342	3361	2	3361	Cistus ladanifer	Cistus ladanifer	HERB	Herbs	HERB	True	True	Herbs	5	510	0.39215686
21	Lopez_a342	3436	11	3436	Cytisus/Genista-type	Cytisus/Genista-type	HERB	Herbs	HERB	True	True	Herbs	5	510	2.1568627
22	Lopez_a342	3541	1	3541	Fumaria officinalis-type	Fumaria officinalis-type	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
23	Lopez_a342	497	4	86	Labiatae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	510	0.78431373
24	Lopez_a342	3686	1	3686	Liliaceae undiff,	Liliaceae undiff,	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
25	Lopez_a342	2354	10	506	Papaver rhoeas-type	Papaver rhoeas-type	HERB	Herbs	HERB	True	True	Herbs	5	510	1.9607843
26	Lopez_a342	1774	8	495	Campanula-type	Phyteuma-type	HERB	Herbs	HERB	True	True	Herbs	5	510	1.5686275
27	Lopez_a342	1085	10	87	Plantago lanceolata-type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	510	1.9607843
28	Lopez_a342	2928	65	106	Poaceae undifferentiated	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	510	12.745098
29	Lopez_a342	1088	8	278	Polygonum aviculare-type	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	510	1.5686275
30	Lopez_a342	1408	2	122	Rumex acetosella-type	Rumex acetosella	HERB	Herbs	HERB	True	True	Herbs	5	510	0.39215686
31	Lopez_a342	503	6	503	Saxifraga	Saxifraga	HERB	Herbs	HERB	True	True	Herbs	5	510	1.1764706
32	Lopez_a342	504	6	504	Solanaceae	Solanaceae	HERB	Herbs	HERB	True	True	Herbs	5	510	1.1764706
33	Lopez_a342	4270	1	466	Urtica dioica-type	Urtica dioica-type	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
34	Lopez_a342	505	1	505	Valeriana	Valeriana	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
35	Lopez_a342	445	1	445	Violaceae	Viola	HERB	Herbs	HERB	True	True	Herbs	5	510	0.19607843
36	Lopez_a342	688	5	569	Sporormiella	Sporormiella-type	FUNG	Fungi	NOPO	False	False	Nonpollen	30	510	
