samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Lopez_a426	5	4	5	Alnus	Alnus	TRSH
Lopez_a426	6	1	6	Apiaceae	Apiaceae	HERB
Lopez_a426	12	9	12	Betula	Betula	TRSH
Lopez_a426	1765	1	483	Campanula-type	Phyteuma-type	HERB
Lopez_a426	18	2	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Lopez_a426	2406	2	556	Cercophora	Cercophora-type	FUNG
Lopez_a426	447	2	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Lopez_a426	201	2	31	Corylus	Corylus	TRSH
Lopez_a426	482	2	13	Cruciferae	Brassicaceae	HERB
Lopez_a426	553	11	553	Cryptogramma	Cryptogramma crispa	VACR
Lopez_a426	3868	21	3868	Cyperaceae	Cyperaceae	AQUA
Lopez_a426	3878	2	3878	Cytisus/Genista-type	Genista-type	HERB
Lopez_a426	3960	3	3960	Fabaceae undiff.	Fabaceae undiff.	INUN
Lopez_a426	190	1	190	Fraxinus	Fraxinus	TRSH
Lopez_a426	435	1	55	Ilex	Ilex	TRSH
Lopez_a426	738	4	203	Juniperus-type	Juniperus-type	TRSH
Lopez_a426	485	1	59	Labiatae	Lamiaceae	HERB
Lopez_a426	4308	369	125	Pinus sylvestris/nigra-type	Pinus sylvestris-type	TRSH
Lopez_a426	429	34	80	Poaceae undiff.	Poaceae	HERB
Lopez_a426	431	13	180	Pteridium	Pteridium aquilinum	VACR
Lopez_a426	437	11	86	Quercus deciduous	Quercus robur-type	TRSH
Lopez_a426	4489	4	92	Rosaceae undiff,	Rosaceae	TRSH
Lopez_a426	93	2	93	Rubiaceae	Rubiaceae	HERB
Lopez_a426	634	2	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Lopez_a426	4604	1	4604	Sordaria	Sordaria-type	NOPO
Lopez_a426	677	1	557	Sporormiella	Sporormiella-type	FUNG
Lopez_a426	4683	1	279	Trilete fern spores undiff.	Trilete spore(s)	VACR
Lopez_a426	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Lopez_a426	4718	2	453	Urtica dioica-type	Urtica dioica-type	HERB
Lopez_a426	7	14	7	Artemisia	Artemisia	HERB
Lopez_a426	192	1	42	Fagus	Fagus	TRSH
Lopez_a426	445	2	336	Cardueae	Asteraceae subf. Carduoideae	HERB
Lopez_a426	769	7	24	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB
Lopez_a426	3929	3	3928	Erica arborea-type	Erica arborea-type	DWAR
Lopez_a426	4039	2	52	Helianthemum-type	Helianthemum	HERB
Lopez_a426	4131	2	62	Liliaceae undiff,	Liliaceae-type	HERB
Lopez_a426	4195	2	146	Monolete fern spores undiff.	Monolete fern spores	VACR
