samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Matthias_b24	12	98	12	Betula	Betula	TRSH
Matthias_b24	75	348	75	Pinus	Pinus	TRSH
Matthias_b24	5	164	5	Alnus	Alnus	TRSH
Matthias_b24	192	294	42	Fagus	Fagus	TRSH
Matthias_b24	16	11	16	Carpinus	Carpinus betulus	TRSH
Matthias_b24	201	6	31	Corylus	Corylus	TRSH
Matthias_b24	99	3	99	Salix	Salix	TRSH
Matthias_b24	126	7	126	Picea	Picea	TRSH
Matthias_b24	560	2	321	Abies	Abies	TRSH
Matthias_b24	58	1	58	Juniperus	Juniperus communis-type	TRSH
Matthias_b24	198	1	111	Taxus	Taxus baccata	TRSH
Matthias_b24	2336	1	123	Larix/Pseudotsuga	Larix/Pseudotsuga	TRSH
Matthias_b24	33	3	33	Cyperaceae	Cyperaceae	HERB
Matthias_b24	80	32	80	Poaceae	Poaceae	HERB
Matthias_b24	801	6	256	Secale	Secale cereale	HERB
Matthias_b24	949	5	258	Hordeum-type	Hordeum-type	HERB
Matthias_b24	652	3	652	Urtica	Urtica	HERB
Matthias_b24	1061	1	763	Cannabaceae	Cannabaceae	TRSH
Matthias_b24	1233	7	1199	Triticum-type	Triticum-type	HERB
Matthias_b24	13	3	13	Brassicaceae	Brassicaceae	HERB
Matthias_b24	60	1	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Matthias_b24	7	2	7	Artemisia	Artemisia	HERB
Matthias_b24	634	3	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Matthias_b24	2582	5	95	Rumex acetosella-type	Rumex acetosa-type	HERB
Matthias_b24	603	1	603	Cirsium	Cirsium	HERB
Matthias_b24	1230	1	133	Senecio-type	Senecio-type	HERB
Matthias_b24	1421	1	228	Ambrosia-type	Ambrosia/Xanthium	HERB
Matthias_b24	3014	1	134	Fenestrate undifferentiated	Asteraceae	HERB
Matthias_b24	45	1	45	Filipendula	Filipendula	HERB
Matthias_b24	1781	1	109	Spergularia-type	Spergularia-type	HERB
Matthias_b24	154	2	154	Ulmus	Ulmus/Zelkova	TRSH
Matthias_b24	189	64	189	Quercus	Quercus	TRSH
Matthias_b24	1215	2	1111	Avena-type	Avena-type	HERB
