samplename	original_varname	acc_varname	groupid	count	percentage
Matthias_b29	Abies	Abies	TRSH	3	0.28
Matthias_b29	Acer	Acer campestre-type	TRSH	2	0.19
Matthias_b29	Alnus	Alnus	TRSH	128	12.11
Matthias_b29	Betula	Betula	TRSH	167	15.8
Matthias_b29	Calluna	Calluna vulgaris	TRSH	1	0.09
Matthias_b29	Cannabaceae	Cannabaceae	TRSH	3	0.28
Matthias_b29	Carpinus	Carpinus betulus	TRSH	5	0.47
Matthias_b29	Castanea	Castanea sativa	TRSH	1	0.09
Matthias_b29	Corylus	Corylus	TRSH	6	0.57
Matthias_b29	Fagus	Fagus	TRSH	16	1.51
Matthias_b29	Fraxinus	Fraxinus	TRSH	1	0.09
Matthias_b29	Larix/Pseudotsuga	Larix/Pseudotsuga	TRSH	3	0.28
Matthias_b29	Myrica gale	Myrica	TRSH	1	0.09
Matthias_b29	Picea	Picea	TRSH	15	1.42
Matthias_b29	Pinus	Pinus	TRSH	498	47.11
Matthias_b29	Quercus	Quercus	TRSH	62	5.87
Matthias_b29	Salix	Salix	TRSH	2	0.19
Matthias_b29	Taxus	Taxus baccata	TRSH	3	0.28
Matthias_b29	Tilia cordata	Tilia cordata-type	TRSH	1	0.09
Matthias_b29	Ulmus	Ulmus/Zelkova	TRSH	1	0.09
Matthias_b29	Artemisia	Artemisia	HERB	7	0.66
Matthias_b29	Fenestrate undifferentiated	Asteraceae	HERB	1	0.09
Matthias_b29	Brassicaceae	Brassicaceae	HERB	2	0.19
Matthias_b29	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.09
Matthias_b29	Cyperaceae	Cyperaceae	HERB	4	0.38
Matthias_b29	Filipendula	Filipendula	HERB	2	0.19
Matthias_b29	Hordeum-type	Hordeum-type	HERB	18	1.7
Matthias_b29	Plantago lanceolata	Plantago lanceolata-type	HERB	4	0.38
Matthias_b29	Plantago major/media-type	Plantago major/P. media-type	HERB	1	0.09
Matthias_b29	Poaceae	Poaceae	HERB	42	3.97
Matthias_b29	Ranunculus acris-type	Ranunculus acris-type	HERB	1	0.09
Matthias_b29	Rumex acetosa-type	Rumex acetosa-type	HERB	5	0.47
Matthias_b29	Rumex acetosella-type	Rumex acetosa-type	HERB	11	1.04
Matthias_b29	Secale	Secale cereale	HERB	20	1.89
Matthias_b29	Senecio-type	Senecio-type	HERB	1	0.09
Matthias_b29	Solanum dulcamara	Solanum dulcamara	HERB	2	0.19
Matthias_b29	Triticum-type	Triticum-type	HERB	9	0.85
Matthias_b29	Urtica	Urtica	HERB	7	0.66
