samplename	original_varname	acc_varname	groupid	count	percentage
Mazier_a4	Abies	Abies	TRSH	12	0.99337748
Mazier_a4	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	14	1.1589404
Mazier_a4	Alnus viridis	Alnus viridis	TRSH	4	0.33112583
Mazier_a4	Betula	Betula	TRSH	34	2.8145695
Mazier_a4	Carpinus betulus	Carpinus betulus	TRSH	15	1.2417219
Mazier_a4	Castanea sativa	Castanea sativa	TRSH	15	1.2417219
Mazier_a4	Corylus avellana	Corylus	TRSH	16	1.3245033
Mazier_a4	Ericaceae	Ericales (tetrad)	DWAR	1	0.082781457
Mazier_a4	Fagus	Fagus	TRSH	43	3.5596026
Mazier_a4	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	26	2.1523179
Mazier_a4	Juglans	Juglans	TRSH	1	0.082781457
Mazier_a4	Juniperus	Juniperus communis-type	TRSH	6	0.49668874
Mazier_a4	Larix	Larix/Pseudotsuga	TRSH	1	0.082781457
Mazier_a4	Ligustrum	Ligustrum	TRSH	1	0.082781457
Mazier_a4	Olea	Olea europaea	TRSH	2	0.16556291
Mazier_a4	Picea	Picea	TRSH	584	48.344371
Mazier_a4	Pinus cembra	Pinus cembra-type	TRSH	14	1.1589404
Mazier_a4	Pinus subgen. Pinus	Pinus subgen. Pinus	TRSH	84	6.9536424
Mazier_a4	Populus	Populus	TRSH	1	0.082781457
Mazier_a4	Quercus	Quercus	TRSH	42	3.4768212
Mazier_a4	Rhamnus	Rhamnus-type	TRSH	1	0.082781457
Mazier_a4	Rhododendron	Rhododendron	TRSH	1	0.082781457
Mazier_a4	Salix	Salix	TRSH	3	0.24834437
Mazier_a4	Sambucus nigra	Sambucus nigra	TRSH	1	0.082781457
Mazier_a4	Sambucus racemosa	Sambucus racemosa	TRSH	1	0.082781457
Mazier_a4	Sorbus-type	Sorbus-type	TRSH	5	0.41390728
Mazier_a4	Tilia	Tilia	TRSH	1	0.082781457
Mazier_a4	Ulmus	Ulmus/Zelkova	TRSH	3	0.24834437
Mazier_a4	Vaccinium	Vaccinium	DWAR	1	0.082781457
Mazier_a4	Ambrosia	Ambrosia	HERB	3	0.24834437
Mazier_a4	Artemisia	Artemisia	HERB	1	0.082781457
Mazier_a4	Aster-type	Aster-type	HERB	11	0.91059603
Mazier_a4	Solidago	Aster-type	HERB	6	0.49668874
Mazier_a4	Cruciferae	Brassicaceae	HERB	1	0.082781457
Mazier_a4	Cerealia	Cerealia-type	HERB	1	0.082781457
Mazier_a4	Chaerophyllum hirsutum-type	Chaerophyllum hirsutum-type	HERB	1	0.082781457
Mazier_a4	Amaranthus	Chenopodiaceae/Amaranthaceae	HERB	1	0.082781457
Mazier_a4	Chenopodiaceae-type	Chenopodiaceae/Amaranthaceae	HERB	3	0.24834437
Mazier_a4	Cirsium	Cirsium	HERB	24	1.986755
Mazier_a4	Compositae subfam. Cichorioideae	Compositae subfam. Cichorioideae	HERB	11	0.91059603
Mazier_a4	Cyperaceae	Cyperaceae	HERB	8	0.66225166
Mazier_a4	Filipendula	Filipendula	HERB	1	0.082781457
Mazier_a4	Gentiana pneumonanthe-type	Gentiana pneumonanthe-type	HERB	1	0.082781457
Mazier_a4	Hypericum perforatum-type	Hypericum perforatum-type	HERB	1	0.082781457
Mazier_a4	Achillea-type	Matricaria-type	HERB	3	0.24834437
Mazier_a4	Melampyrum	Melampyrum	HERB	53	4.3874172
Mazier_a4	Peucedanum-type	Peucedanum-type	HERB	1	0.082781457
Mazier_a4	Phyteuma	Phyteuma-type	HERB	1	0.082781457
Mazier_a4	Plantago lanceolata-type	Plantago lanceolata-type	HERB	8	0.66225166
Mazier_a4	Plantago maior	Plantago major	HERB	1	0.082781457
Mazier_a4	Plantago media	Plantago media	HERB	5	0.41390728
Mazier_a4	Gramineae	Poaceae	HERB	80	6.6225166
Mazier_a4	Polygonum aviculare	Polygonum aviculare-type	HERB	1	0.082781457
Mazier_a4	Potentilla-type	Potentilla-type	HERB	2	0.16556291
Mazier_a4	Ranunculus aconitifolius-type	Ranunculus aconitifolius-type	HERB	1	0.082781457
Mazier_a4	Ranunculus acris-type	Ranunculus acris-type	HERB	10	0.82781457
Mazier_a4	Rubiaceae	Rubiaceae	HERB	3	0.24834437
Mazier_a4	Rumex acetosa-type	Rumex acetosa-type	HERB	6	0.49668874
Mazier_a4	Scilla-type	Scilla-type	HERB	3	0.24834437
Mazier_a4	Sedum	Sedum-type	HERB	1	0.082781457
Mazier_a4	Senecio	Senecio-type	HERB	1	0.082781457
Mazier_a4	Succisa	Succisa-type	HERB	1	0.082781457
Mazier_a4	Urtica	Urtica	HERB	9	0.74503311
Mazier_a4	Veronica	Veronica-type	HERB	2	0.16556291
Mazier_a4	Athyrium filix-femina	Athyrium filix-femina	VACR	5	0.41390728
Mazier_a4	Dryopteris filix-mas-type	Dryopteris filix-mas-type	VACR	3	0.24834437
Mazier_a4	Monolete fern spores	Monolete fern spores	VACR	1	0.082781457
Mazier_a4	Picea: stomata	Picea: stomata	VEMI	3	
Mazier_a4	Podospora-type	Podospora-type	FUNG	1	
