samplename	original_varname	acc_varname	groupid	count	percentage
Mazier_b59	Abies	Abies	TRSH	1	0.25445293
Mazier_b59	Alnus	Alnus	TRSH	11	2.7989822
Mazier_b59	Betula	Betula	TRSH	4	1.0178117
Mazier_b59	Calluna	Calluna vulgaris	DWAR	16	4.0712468
Mazier_b59	Castanea	Castanea sativa	TRSH	8	2.0356234
Mazier_b59	Corylus	Corylus	TRSH	13	3.307888
Mazier_b59	Erica tetralix-type	Erica tetralix-type	DWAR	1	0.25445293
Mazier_b59	Ericaceae	Ericales (tetrad)	DWAR	13	3.307888
Mazier_b59	Fagus	Fagus	TRSH	58	14.75827
Mazier_b59	Fraxinus	Fraxinus	TRSH	1	0.25445293
Mazier_b59	Olea	Olea europaea	TRSH	3	0.76335878
Mazier_b59	Pinus	Pinus	TRSH	45	11.450382
Mazier_b59	Quercus deciduous	Quercus robur-type	TRSH	36	9.1603053
Mazier_b59	Rosaceae	Rosaceae	TRSH	2	0.50890585
Mazier_b59	Ulmus	Ulmus/Zelkova	TRSH	1	0.25445293
Mazier_b59	Vaccinium/Rhododendron	Vaccinium-type	DWAR	16	4.0712468
Mazier_b59	Apiaceae	Apiaceae	HERB	2	0.50890585
Mazier_b59	Artemisia	Artemisia	HERB	1	0.25445293
Mazier_b59	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.50890585
Mazier_b59	Brassicaceae	Brassicaceae	HERB	6	1.5267176
Mazier_b59	Stellaria-type	Cerastium-type	HERB	1	0.25445293
Mazier_b59	Cerealia undiff.	Cerealia-type	HERB	1	0.25445293
Mazier_b59	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	2	0.50890585
Mazier_b59	Plantago	Plantago	HERB	6	1.5267176
Mazier_b59	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.25445293
Mazier_b59	Poaceae	Poaceae	HERB	127	32.315522
Mazier_b59	Ranunculaceae	Ranunculaceae	HERB	4	1.0178117
Mazier_b59	Rumex acetosa/R. acetosella	Rumex acetosa-type	HERB	1	0.25445293
Mazier_b59	Rumex obtusifolius	Rumex crispus-type	HERB	1	0.25445293
Mazier_b59	Rumex	Rumex/Oxyria	HERB	1	0.25445293
Mazier_b59	Urtica dioica	Urtica dioica	HERB	2	0.50890585
Mazier_b59	Filicales monolete	Monolete fern spores	VACR	1	0.25445293
Mazier_b59	Polypodium	Polypodium	VACR	1	0.25445293
Mazier_b59	Pteridium	Pteridium aquilinum	VACR	4	1.0178117
Mazier_b59	Cyperaceae	Cyperaceae	AQUA	4	1.0178117
Mazier_b59	Fabaceae	Fabaceae	INUN	1	
Mazier_b59	Indeterminable: unknown	Indeterminable: unknown	INUN	12	
