samplename	original_varname	acc_varname	groupid	count	percentage
Mercuri_b1	Abies	Abies	TRSH	4	0.74906367
Mercuri_b1	Acer campestre-type	Acer campestre-type	TRSH	1	0.18726592
Mercuri_b1	Alnus undifferentiated	Alnus	TRSH	14	2.6217228
Mercuri_b1	Betula	Betula	TRSH	2	0.37453184
Mercuri_b1	Carpinus betulus	Carpinus betulus	TRSH	3	0.56179775
Mercuri_b1	Carpinus orientalis/Ostrya carpinifolia	Carpinus orientalis/Ostrya carpinifolia	TRSH	11	2.0599251
Mercuri_b1	Castanea	Castanea sativa	TRSH	85	15.917603
Mercuri_b1	Cedrus	Cedrus	TRSH	1	0.18726592
Mercuri_b1	Cistus	Cistus	TRSH	2	0.37453184
Mercuri_b1	Clematis	Clematis	TRSH	1	0.18726592
Mercuri_b1	Corylus	Corylus	TRSH	18	3.3707865
Mercuri_b1	Fagus	Fagus	TRSH	8	1.4981273
Mercuri_b1	Frangula alnus	Frangula alnus	TRSH	1	0.18726592
Mercuri_b1	Fraxinus excelsior-type	Fraxinus excelsior-type	TRSH	7	1.3108614
Mercuri_b1	Fraxinus ornus	Fraxinus ornus	TRSH	11	2.0599251
Mercuri_b1	Ilex	Ilex	TRSH	1	0.18726592
Mercuri_b1	Juglans	Juglans	TRSH	2	0.37453184
Mercuri_b1	Juniperus-type	Juniperus-type	TRSH	18	3.3707865
Mercuri_b1	Ligustrum	Ligustrum	TRSH	1	0.18726592
Mercuri_b1	Magnoliaceae undifferentiated	Magnoliaceae undifferentiated	TRSH	4	0.74906367
Mercuri_b1	Olea europaea	Olea europaea	TRSH	24	4.494382
Mercuri_b1	Phillyrea	Phillyrea	TRSH	1	0.18726592
Mercuri_b1	Picea	Picea	TRSH	1	0.18726592
Mercuri_b1	Pinus	Pinus	TRSH	78	14.606742
Mercuri_b1	Pistacia cf. P. lentiscus	Pistacia cf. P. lentiscus	TRSH	2	0.37453184
Mercuri_b1	Populus	Populus	TRSH	4	0.74906367
Mercuri_b1	Quercus ilex-type	Quercus ilex-type	TRSH	37	6.928839
Mercuri_b1	Quercus deciduous	Quercus robur-type	TRSH	70	13.108614
Mercuri_b1	Salix	Salix	TRSH	5	0.93632959
Mercuri_b1	Sambucus cf. S. nigra	Sambucus cf. S. nigra	TRSH	2	0.37453184
Mercuri_b1	Vitis	Vitis	TRSH	1	0.18726592
Mercuri_b1	Ambrosia	Ambrosia	HERB	1	0.18726592
Mercuri_b1	Anagallis arvensis-type	Anagallis arvensis-type	HERB	1	0.18726592
Mercuri_b1	Umbelliferae	Apiaceae	HERB	1	0.18726592
Mercuri_b1	Artemisia	Artemisia	HERB	6	1.1235955
Mercuri_b1	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.37453184
Mercuri_b1	Asteroideae undifferentiated	Asteroideae undifferentiated	HERB	2	0.37453184
Mercuri_b1	Avena/Triticum-group	Avena/Triticum-group	HERB	3	0.56179775
Mercuri_b1	Caryophyllaceae undifferentiated	Caryophyllaceae undifferentiated	HERB	2	0.37453184
Mercuri_b1	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	9	1.6853933
Mercuri_b1	Cruciferae undifferentiated	Cruciferae undifferentiated	HERB	7	1.3108614
Mercuri_b1	Cyperaceae	Cyperaceae	HERB	3	0.56179775
Mercuri_b1	Gramineae wild grass-group	Gramineae wild grass-group	HERB	43	8.0524345
Mercuri_b1	Hordeum-group	Hordeum-group	HERB	7	1.3108614
Mercuri_b1	Hornungia-type	Hornungia-type	HERB	1	0.18726592
Mercuri_b1	Humulus	Humulus lupulus	HERB	1	0.18726592
Mercuri_b1	Labiatae cf. Lamium	Labiatae cf. Lamium	HERB	1	0.18726592
Mercuri_b1	Liliaceae undifferentiated	Liliaceae undifferentiated	HERB	1	0.18726592
Mercuri_b1	Lotus	Lotus-type	HERB	1	0.18726592
Mercuri_b1	Mentha-type	Mentha-type	HERB	1	0.18726592
Mercuri_b1	Papaver rhoeas-type	Papaver rhoeas-type	HERB	1	0.18726592
Mercuri_b1	Papaveraceae cf. Corydalis	Papaveraceae cf. Corydalis	HERB	1	0.18726592
Mercuri_b1	Plantago undifferentiated	Plantago	HERB	1	0.18726592
Mercuri_b1	Plantago lanceolata-type	Plantago lanceolata-type	HERB	3	0.56179775
Mercuri_b1	Ranunculaceae undifferentiated	Ranunculaceae undifferentiated	HERB	1	0.18726592
Mercuri_b1	Rumex	Rumex/Oxyria	HERB	1	0.18726592
Mercuri_b1	Scrophularia-type	Scrophularia-type	HERB	1	0.18726592
Mercuri_b1	Scrophulariaceae cf. Veronica	Scrophulariaceae cf. Veronica	HERB	1	0.18726592
Mercuri_b1	Smilax	Smilax	HERB	1	0.18726592
Mercuri_b1	Thalictrum flavum-type	Thalictrum flavum-type	HERB	6	1.1235955
Mercuri_b1	Hottonia palustris-type	Hottonia palustris-type	AQUA	5	0.93632959
Mercuri_b1	Lemna	Lemna	AQUA	2	0.37453184
Mercuri_b1	Myriophyllum spicatum-type	Myriophyllum spicatum-type	AQUA	3	0.56179775
Mercuri_b1	Potamogeton-type	Potamogeton-type	AQUA	1	0.18726592
Mercuri_b1	Sparganium emersum-type	Sparganium emersum-type	HELO	3	0.56179775
Mercuri_b1	Indeterminable: unknown	Indeterminable: unknown	INUN	3	
Mercuri_b1	Lycopodium (added)	Lycopodium (added)	NOPO	13500	
Mercuri_b1	Lycopodium (counted)	Lycopodium (counted)	NOPO	124	
Mercuri_b1	Pteridophyta spore	Pteridophyta spore	VACR	4	0.74906367
Mercuri_b1	Sample wet volume (ml)	Sample wet volume (ml)	NOPO	1	
