samplename	original_varname	acc_varname	groupid	count	percentage
Mercuri_f1	Abies	Abies	TRSH	1	0.18214936
Mercuri_f1	Acer	Acer campestre-type	TRSH	1	0.18214936
Mercuri_f1	Alnus	Alnus	TRSH	1	0.18214936
Mercuri_f1	Alnus cf. A. incana	Alnus glutinosa-type	TRSH	3	0.54644809
Mercuri_f1	Castanea	Castanea sativa	TRSH	3	0.54644809
Mercuri_f1	Cedrus	Cedrus	TRSH	1	0.18214936
Mercuri_f1	Citrus	Citrus	TRSH	1	0.18214936
Mercuri_f1	Clematis	Clematis	TRSH	1	0.18214936
Mercuri_f1	Corylus	Corylus	TRSH	3	0.54644809
Mercuri_f1	Ephedra fragilis-type	Ephedra fragilis-type	TRSH	2	0.36429872
Mercuri_f1	Fagus	Fagus	TRSH	3	0.54644809
Mercuri_f1	Fraxinus excelsior-type	Fraxinus excelsior-type	TRSH	1	0.18214936
Mercuri_f1	Juglans	Juglans	TRSH	2	0.36429872
Mercuri_f1	Juniperus	Juniperus communis-type	TRSH	14	2.5500911
Mercuri_f1	Morus	Morus	TRSH	1	0.18214936
Mercuri_f1	Olea	Olea europaea	TRSH	52	9.4717668
Mercuri_f1	Carpinus orientalis/Ostrya carpinifolia	Ostrya/Carpinus orientalis	TRSH	8	1.4571949
Mercuri_f1	Pinus	Pinus	TRSH	31	5.6466302
Mercuri_f1	Populus	Populus	TRSH	1	0.18214936
Mercuri_f1	Prunus	Prunus-type	TRSH	1	0.18214936
Mercuri_f1	Quercus ilex-type	Quercus ilex-type	TRSH	7	1.2750455
Mercuri_f1	Quercus deciduous	Quercus robur-type	TRSH	56	10.200364
Mercuri_f1	Rhamnus	Rhamnus-type	TRSH	1	0.18214936
Mercuri_f1	Rosaceae undiff.	Rosa	TRSH	4	0.72859745
Mercuri_f1	Rubus	Rubus	TRSH	3	0.54644809
Mercuri_f1	Salix	Salix	TRSH	2	0.36429872
Mercuri_f1	Sambucus	Sambucus	TRSH	1	0.18214936
Mercuri_f1	Ulmus	Ulmus/Zelkova	TRSH	2	0.36429872
Mercuri_f1	Viburnum	Viburnum	TRSH	1	0.18214936
Mercuri_f1	Anemone	Anemone nemorosa-type	HERB	1	0.18214936
Mercuri_f1	Umbelliferae	Apiaceae	HERB	20	3.6429872
Mercuri_f1	Artemisia	Artemisia	HERB	8	1.4571949
Mercuri_f1	Aster-type	Aster-type	HERB	1	0.18214936
Mercuri_f1	Asteroideae undiff.	Asteraceae subf. Asteroideae	HERB	1	0.18214936
Mercuri_f1	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	108	19.672131
Mercuri_f1	Cruciferae	Brassicaceae	HERB	1	0.18214936
Mercuri_f1	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.18214936
Mercuri_f1	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	12	2.1857923
Mercuri_f1	Cistus	Cistus	HERB	1	0.18214936
Mercuri_f1	Filipendula-type	Filipendula	HERB	1	0.18214936
Mercuri_f1	Hordeum-group	Hordeum-type	HERB	4	0.72859745
Mercuri_f1	Humulus	Humulus lupulus	HERB	1	0.18214936
Mercuri_f1	Hypericum	Hypericum	HERB	2	0.36429872
Mercuri_f1	Labiatae	Lamiaceae	HERB	7	1.2750455
Mercuri_f1	Leguminosae	Leguminosae	HERB	22	4.007286
Mercuri_f1	Liliaceae	Liliaceae-type	HERB	2	0.36429872
Mercuri_f1	Anthemis-type	Matricaria-type	HERB	3	0.54644809
Mercuri_f1	Medicago-type	Medicago sativa-type	HERB	1	0.18214936
Mercuri_f1	Plantago undiff.	Plantago	HERB	16	2.9143898
Mercuri_f1	Plantago lanceolata-type	Plantago lanceolata-type	HERB	4	0.72859745
Mercuri_f1	Gramineae	Poaceae	HERB	96	17.486339
Mercuri_f1	Polygonum	Polygonum-type (tricolporate)	HERB	10	1.8214936
Mercuri_f1	Potentilla-type	Potentilla-type	HERB	2	0.36429872
Mercuri_f1	Ranunculus-type	Ranunculus-type	HERB	1	0.18214936
Mercuri_f1	Galium-type	Rubiaceae	HERB	3	0.54644809
Mercuri_f1	Rumex	Rumex/Oxyria	HERB	2	0.36429872
Mercuri_f1	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	2	0.36429872
Mercuri_f1	Thalictrum	Thalictrum	HERB	1	0.18214936
Mercuri_f1	Urtica dioica-type	Urtica dioica-type	HERB	3	0.54644809
Mercuri_f1	Urtica pilulifera-type	Urtica pilulifera	HERB	1	0.18214936
Mercuri_f1	Zea mays	Zea mays	HERB	1	0.18214936
Mercuri_f1	Pteridophyta spore	Monolete fern spores	VACR	2	0.36429872
Mercuri_f1	Cyperaceae	Cyperaceae	AQUA	9	1.6393443
Mercuri_f1	Nymphaea	Nymphaea	AQUA	1	0.18214936
Mercuri_f1	Sparganium	Potamogeton-type	AQUA	1	0.18214936
Mercuri_f1	cf. Primula	Indeterminable: unknown	INUN	1	
Mercuri_f1	Indeterminable: unknown	Indeterminable: unknown	INUN	6	
Mercuri_f1	Unknown	Indeterminable: unknown	INUN	6	
Mercuri_f1	Lycopodium (added)	Lycopodium (added)	NOPO	13500	
Mercuri_f1	Lycopodium (counted)	Lycopodium (counted)	NOPO	333	
Mercuri_f1	Concentricystes	Pseudoschizaea	NOPO	1	
Mercuri_f1	Reworked	Reworked pollen	NOPO	1	
Mercuri_f1	Sample dry mass (g)	Sample dry mass (g)	NOPO	5	
