samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Mercuri_i5	1796	3	24	Amaranthus	Chenopodiaceae/Amaranthaceae	HERB
Mercuri_i5	1799	6	5	Anus	Alnus	TRSH
Mercuri_i5	24	13	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Mercuri_i5	441	1	19	Castanea	Castanea sativa	TRSH
Mercuri_i5	761	10	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Mercuri_i5	1813	21	25	Cichorieae	Asteraceae subf. Cichorioideae	HERB
Mercuri_i5	692	10679	692	Lycopodium (added)	Lycopodium (added)	NOPO
Mercuri_i5	57	6	57	Juglans	Juglans	TRSH
Mercuri_i5	62	1	62	Liliaceae	Liliaceae-type	HERB
Mercuri_i5	1037	3	47	Fraxinus excelsior type	Fraxinus excelsior-type	TRSH
Mercuri_i5	1152	2	611	Lotus	Lotus-type	HERB
Mercuri_i5	1820	2	203	Cupressus	Juniperus-type	TRSH
Mercuri_i5	559	33	559	Lycopodium (counted)	Lycopodium (counted)	NOPO
Mercuri_i5	75	2	75	Pinus	Pinus	TRSH
Mercuri_i5	1836	6	1665	Matthiola	Matthiola	HERB
Mercuri_i5	1856	285	1856	Pollen Sum	Pollen sums	NOPO
Mercuri_i5	81	9	81	Populus	Populus	TRSH
Mercuri_i5	724	5	270	Plantago	Plantago	HERB
Mercuri_i5	727	2	94	Rumex	Rumex/Oxyria	HERB
Mercuri_i5	1879	6.74	1879	Weight (g)	Weight	NOPO
Mercuri_i5	529	1	224	Veronica	Veronica-type	HERB
Mercuri_i5	646	18	114	Trifolium pratense type	Trifolium pratense-type	HERB
Mercuri_i5	812	13	423	Zea mays	Zea mays	HERB
Mercuri_i5	1198	27	115	Trifolium undiff.	Trifolium-type	HERB
Mercuri_i5	1760	1	1760	Robinia	Robinia pseudacacia	TRSH
Mercuri_i5	1839	7	10	Melilotus	Astragalus-type	HERB
Mercuri_i5	1855	126	80	Poaceae wild grass group	Poaceae	HERB
