samplename	original_varname	acc_varname	groupid	count	percentage
Mikishin-Gvozdeva_a149	Abies	Abies	TRSH	4	0.79365079
Mikishin-Gvozdeva_a149	Alnus	Alnus	TRSH	43	8.531746
Mikishin-Gvozdeva_a149	Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)	Alnus viridis	TRSH	33	6.547619
Mikishin-Gvozdeva_a149	Betula	Betula	TRSH	88	17.460317
Mikishin-Gvozdeva_a149	Betula nana-type	Betula nana-type	DWAR	83	16.468254
Mikishin-Gvozdeva_a149	Castanea	Castanea sativa	TRSH	1	0.1984127
Mikishin-Gvozdeva_a149	Corylus	Corylus	TRSH	10	1.984127
Mikishin-Gvozdeva_a149	Ericales	Ericales (tetrad)	DWAR	2	0.3968254
Mikishin-Gvozdeva_a149	Juglans	Juglans	TRSH	1	0.1984127
Mikishin-Gvozdeva_a149	Picea	Picea	TRSH	25	4.9603175
Mikishin-Gvozdeva_a149	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH	11	2.1825397
Mikishin-Gvozdeva_a149	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH	9	1.7857143
Mikishin-Gvozdeva_a149	Quercus	Quercus	TRSH	41	8.1349206
Mikishin-Gvozdeva_a149	Rosaceae	Rosaceae	TRSH	1	0.1984127
Mikishin-Gvozdeva_a149	Ulmus	Ulmus/Zelkova	TRSH	11	2.1825397
Mikishin-Gvozdeva_a149	Artemisia	Artemisia	HERB	7	1.3888889
Mikishin-Gvozdeva_a149	Asteraceae	Asteraceae	HERB	14	2.7777778
Mikishin-Gvozdeva_a149	Cyperaceae	Cyperaceae	HERB	6	1.1904762
Mikishin-Gvozdeva_a149	Poaceae	Poaceae	HERB	4	0.79365079
Mikishin-Gvozdeva_a149	Bryales	Bryophyte spores	BRYO	2	0.3968254
Mikishin-Gvozdeva_a149	Lycopodium	Lycopodium	VACR	30	5.952381
Mikishin-Gvozdeva_a149	Polypodiaceae	Monolete fern spores	VACR	61	12.103175
Mikishin-Gvozdeva_a149	Osmunda	Osmunda regalis	VACR	2	0.3968254
Mikishin-Gvozdeva_a149	Sphagnum	Sphagnum	BRYO	15	2.9761905
Mikishin-Gvozdeva_a149	Myriophyllum	Myriophyllum	AQUA	1	0.1984127
Mikishin-Gvozdeva_a149	Sparganium	Sparganium-type	AQUA	1	0.1984127
