samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Mikishin-Gvozdeva_a200	560	17	321	Abies	Abies	TRSH
Mikishin-Gvozdeva_a200	126	304	126	Picea	Picea	TRSH
Mikishin-Gvozdeva_a200	123	7	123	Larix	Larix/Pseudotsuga	TRSH
Mikishin-Gvozdeva_a200	2218	2	125	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH
Mikishin-Gvozdeva_a200	2219	37	124	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH
Mikishin-Gvozdeva_a200	12	29	12	Betula	Betula	TRSH
Mikishin-Gvozdeva_a200	2105	13	127	Betula nana-type	Betula nana-type	DWAR
Mikishin-Gvozdeva_a200	5	38	5	Alnus	Alnus	TRSH
Mikishin-Gvozdeva_a200	99	2	99	Salix	Salix	TRSH
Mikishin-Gvozdeva_a200	189	2	189	Quercus	Quercus	TRSH
Mikishin-Gvozdeva_a200	201	1	31	Corylus	Corylus	TRSH
Mikishin-Gvozdeva_a200	33	26	33	Cyperaceae	Cyperaceae	HERB
Mikishin-Gvozdeva_a200	7	10	7	Artemisia	Artemisia	HERB
Mikishin-Gvozdeva_a200	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Mikishin-Gvozdeva_a200	135	1	135	Ranunculaceae	Ranunculaceae	HERB
Mikishin-Gvozdeva_a200	138	1	138	Polygonaceae	Polygonaceae	HERB
Mikishin-Gvozdeva_a200	2120	3	130	Ericales	Ericales (tetrad)	DWAR
Mikishin-Gvozdeva_a200	144	48	144	Sphagnum	Sphagnum	BRYO
Mikishin-Gvozdeva_a200	146	31	146	Polypodiaceae	Monolete fern spores	VACR
Mikishin-Gvozdeva_a200	1555	1	465	Osmunda	Osmunda regalis	VACR
Mikishin-Gvozdeva_a200	143	7	143	Lycopodium	Lycopodium	VACR
Mikishin-Gvozdeva_a200	2222	10	129	Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)	Alnus viridis	TRSH
Mikishin-Gvozdeva_a200	2239	2	2239	Marchantiophyta	Marchantiophyta	UPBR
