samplename	original_varname	acc_varname	groupid	count	percentage	notes
Mikishin-Gvozdeva_a72	Abies	Abies	TRSH	55	14.986376	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_a72	Alnus	Alnus	TRSH	5	1.3623978	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_a72	Alnaster (Alnus shrub-type: Alnaster fruticosus, Alnus fruticosa, Alnus maximowiczii)	Alnus viridis	TRSH	2	0.54495913	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_a72	Betula	Betula	TRSH	16	4.359673	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_a72	Picea	Picea	TRSH	174	47.411444	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_a72	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH	48	13.079019	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_a72	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH	13	3.5422343	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_a72	Quercus	Quercus	TRSH	2	0.54495913	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_a72	Apiaceae	Apiaceae	HERB	1	0.27247956	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_a72	Artemisia	Artemisia	HERB	1	0.27247956	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_a72	Lycopodium	Lycopodium	VACR	49	13.351499	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_a72	Polypodium	Polypodium	VACR	1	0.27247956	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
