samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Mikishin-Gvozdeva_b32	2218	7	125	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH
Mikishin-Gvozdeva_b32	2219	3	124	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH
Mikishin-Gvozdeva_b32	12	4	12	Betula	Betula	TRSH
Mikishin-Gvozdeva_b32	5	6	5	Alnus	Alnus	TRSH
Mikishin-Gvozdeva_b32	189	34	189	Quercus	Quercus	TRSH
Mikishin-Gvozdeva_b32	154	2	154	Ulmus	Ulmus/Zelkova	TRSH
Mikishin-Gvozdeva_b32	190	1	190	Fraxinus	Fraxinus	TRSH
Mikishin-Gvozdeva_b32	33	14	33	Cyperaceae	Cyperaceae	HERB
Mikishin-Gvozdeva_b32	7	16	7	Artemisia	Artemisia	HERB
Mikishin-Gvozdeva_b32	134	273	134	Asteraceae	Asteraceae	HERB
Mikishin-Gvozdeva_b32	24	6	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Mikishin-Gvozdeva_b32	112	5	112	Thalictrum	Thalictrum	HERB
Mikishin-Gvozdeva_b32	62	2	62	Liliaceae	Liliaceae-type	HERB
Mikishin-Gvozdeva_b32	41	4	41	Fabaceae	Fabaceae	HERB
Mikishin-Gvozdeva_b32	146	10	146	Polypodiaceae	Monolete fern spores	VACR
Mikishin-Gvozdeva_b32	135	40	135	Ranunculaceae	Ranunculaceae	HERB
Mikishin-Gvozdeva_b32	187	2	187	Tilia	Tilia	TRSH
Mikishin-Gvozdeva_b32	1126	8	25	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB
