samplename	original_varname	acc_varname	groupid	count	percentage	notes
Mikishin-Gvozdeva_b40	Abies	Abies	TRSH	1	0.19011407	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Alnus	Alnus	TRSH	11	2.0912548	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Betula	Betula	TRSH	121	23.003802	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Carpinus	Carpinus betulus	TRSH	1	0.19011407	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Corylus	Corylus	TRSH	1	0.19011407	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Ericales	Ericales (tetrad)	DWAR	2	0.38022814	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Juglans	Juglans	TRSH	1	0.19011407	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Phellodendron	Phellodendron	TRSH	1	0.19011407	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Picea	Picea	TRSH	8	1.5209125	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Pinus sgen. Haploxylon	Pinus cembra-type	TRSH	43	8.1749049	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Pinus sgen. Diploxylon	Pinus sylvestris-type	TRSH	34	6.4638783	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Quercus	Quercus	TRSH	17	3.2319392	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Rosaceae	Rosaceae	TRSH	2	0.38022814	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Mikishin-Gvozdeva_b40	Salix	Salix	TRSH	3	0.57034221	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Tilia	Tilia	TRSH	2	0.38022814	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Ulmus	Ulmus/Zelkova	TRSH	8	1.5209125	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Viburnum	Viburnum	TRSH	1	0.19011407	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mikishin-Gvozdeva_b40	Vitaceae	Vitaceae	TRSH	1	0.19011407	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Apiaceae	Apiaceae	HERB	3	0.57034221	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b40	Artemisia	Artemisia	HERB	37	7.0342205	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b40	Asteraceae	Asteraceae	HERB	10	1.9011407	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b40	Cichoriaceae	Asteraceae subf. Cichorioideae	HERB	4	0.76045627	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b40	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.38022814	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	12	2.2813688	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mikishin-Gvozdeva_b40	Cyperaceae	Cyperaceae	HERB	67	12.737643	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b40	Poaceae	Poaceae	HERB	10	1.9011407	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b40	Polygonaceae	Polygonaceae	HERB	3	0.57034221	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mikishin-Gvozdeva_b40	Primulaceae	Primulaceae	HERB	1	0.19011407	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
