samplename	original_varname	acc_varname	groupid	count	percentage
Miras_a4	Acer	Acer campestre-type	TRSH	1	0.29
Miras_a4	Alnus	Alnus	TRSH	2	0.57
Miras_a4	Betula	Betula	TRSH	14	4.01
Miras_a4	Calluna	Calluna vulgaris	DWAR	189	54.15
Miras_a4	Carpinus	Carpinus betulus	TRSH	1	0.29
Miras_a4	Castanea	Castanea sativa	TRSH	4	1.15
Miras_a4	Corylus	Corylus	TRSH	7	2.01
Miras_a4	Ericaceae	Ericales (tetrad)	DWAR	1	0.29
Miras_a4	Fagus	Fagus	TRSH	15	4.3
Miras_a4	Fraxinus	Fraxinus	TRSH	1	0.29
Miras_a4	Juglans	Juglans	TRSH	1	0.29
Miras_a4	Juniperus	Juniperus communis-type	TRSH	1	0.29
Miras_a4	Olea	Olea europaea	TRSH	3	0.86
Miras_a4	Picea	Picea	TRSH	9	2.58
Miras_a4	Pinus	Pinus	TRSH	46	13.18
Miras_a4	Quercus	Quercus	TRSH	23	6.59
Miras_a4	Rosaceae	Rosaceae	TRSH	10	2.87
Miras_a4	Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.29
Miras_a4	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	1	0.29
Miras_a4	Cerealia	Cerealia-type	HERB	2	0.57
Miras_a4	Crassulaceae	Crassulaceae	HERB	4	1.15
Miras_a4	Malvaceae	Malvaceae	HERB	1	0.29
Miras_a4	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.29
Miras_a4	Poaceae	Poaceae	HERB	6	1.72
Miras_a4	Galium	Rubiaceae	HERB	1	0.29
Miras_a4	Rumex	Rumex/Oxyria	HERB	2	0.57
Miras_a4	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	2	0.57
Miras_a4	Butomus	Butomus umbellatus	AQUA	1	0.29
Miras_a4	Fabaceae	Fabaceae	INUN	2	
Miras_a4	Varia	Indeterminable: unknown	INUN	10	
