	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Miras_a7	2	1	2	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.26246719
1	Miras_a7	4	2	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.52493438
2	Miras_a7	5	22	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	5.7742782
3	Miras_a7	3209	44	3209	Calluna	Calluna	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	381	11.548556
4	Miras_a7	454	12	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	3.1496063
5	Miras_a7	587	1	356	Cedrus	Cedrus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.26246719
6	Miras_a7	9	12	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	3.1496063
7	Miras_a7	12	14	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	3.6745407
8	Miras_a7	13	1	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.26246719
9	Miras_a7	15	1	15	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.26246719
10	Miras_a7	455	3	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.78740157
11	Miras_a7	18	3	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.78740157
12	Miras_a7	19	17	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	4.4619423
13	Miras_a7	208	11	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	2.8871391
14	Miras_a7	118	8	118	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	2.0997375
15	Miras_a7	29	1	29	Tilia	Tilia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.26246719
16	Miras_a7	31	1	31	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	381	0.26246719
17	Miras_a7	36	2	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	381	0.52493438
18	Miras_a7	772	4	180	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	381	1.0498688
19	Miras_a7	460	2	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	381	0.52493438
20	Miras_a7	46	2	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	381	0.52493438
21	Miras_a7	52	1	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	381	0.26246719
22	Miras_a7	531	5	531	Crassulaceae	Crassulaceae	HERB	Herbs	HERB	True	True	Herbs	5	381	1.312336
23	Miras_a7	559	1	559	Epilobium	Epilobium	HERB	Herbs	HERB	True	True	Herbs	5	381	0.26246719
24	Miras_a7	69	2	69	Fabaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	381	0.52493438
25	Miras_a7	3547	7	3547	Galium	Galium	HERB	Herbs	HERB	True	True	Herbs	5	381	1.8372703
26	Miras_a7	735	7	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	381	1.8372703
27	Miras_a7	87	3	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	381	0.78740157
28	Miras_a7	106	160	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	381	41.994751
29	Miras_a7	156	3	156	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	381	0.78740157
30	Miras_a7	738	18	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	381	4.7244094
31	Miras_a7	193	10	193	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	381	2.6246719
32	Miras_a7	1108	9	197	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	381	
