samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Miras_c11	560	3	321	Abies	Abies	TRSH
Miras_c11	5	5	5	Alnus	Alnus	TRSH
Miras_c11	6	1	6	Apiaceae	Apiaceae	HERB
Miras_c11	761	7	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Miras_c11	12	12	12	Betula	Betula	TRSH
Miras_c11	3645	1	3645	Calluna	Calluna vulgaris	DWAR
Miras_c11	441	2	19	Castanea	Castanea sativa	TRSH
Miras_c11	201	20	31	Corylus	Corylus	TRSH
Miras_c11	192	30	42	Fagus	Fagus	TRSH
Miras_c11	442	2	68	Olea	Olea europaea	TRSH
Miras_c11	126	7	126	Picea	Picea	TRSH
Miras_c11	75	29	75	Pinus	Pinus	TRSH
Miras_c11	724	4	270	Plantago	Plantago	HERB
Miras_c11	80	34	80	Poaceae	Poaceae	HERB
Miras_c11	189	20	189	Quercus	Quercus	TRSH
Miras_c11	99	1	99	Salix	Salix	TRSH
Miras_c11	173	1	173	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB
Miras_c11	108	1	108	Sparganium	Potamogeton-type	AQUA
Miras_c11	1098	6	177	Varia	Indeterminable: unknown	INUN
Miras_c11	4756	1	4756	Vitis	Vitis	LIAN
Miras_c11	16	3	16	Carpinus	Carpinus betulus	TRSH
Miras_c11	135	2	135	Ranunculaceae	Ranunculaceae	HERB
Miras_c11	727	1	94	Rumex	Rumex/Oxyria	HERB
Miras_c11	92	3	92	Rosaceae	Rosaceae	TRSH
