samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Miras_d8	560	1	321	Abies	Abies	TRSH
Miras_d8	5	7	5	Alnus	Alnus	TRSH
Miras_d8	12	21	12	Betula	Betula	TRSH
Miras_d8	3645	3	3645	Calluna	Calluna vulgaris	DWAR
Miras_d8	16	3	16	Carpinus	Carpinus betulus	TRSH
Miras_d8	447	2	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Miras_d8	201	12	31	Corylus	Corylus	TRSH
Miras_d8	2562	1	519	Crassula	Crassulaceae	HERB
Miras_d8	3868	5	3868	Cyperaceae	Cyperaceae	AQUA
Miras_d8	130	1	130	Ericaceae	Ericales (tetrad)	DWAR
Miras_d8	190	5	190	Fraxinus	Fraxinus	TRSH
Miras_d8	4031	1	4031	Hedera	Hedera	LIAN
Miras_d8	4193	1	146	Monolete fern spores	Monolete fern spores	VACR
Miras_d8	442	2	68	Olea	Olea europaea	TRSH
Miras_d8	126	18	126	Picea	Picea	TRSH
Miras_d8	75	44	75	Pinus	Pinus	TRSH
Miras_d8	724	3	270	Plantago	Plantago	HERB
Miras_d8	60	4	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Miras_d8	80	57	80	Poaceae	Poaceae	HERB
Miras_d8	189	70	189	Quercus	Quercus	TRSH
Miras_d8	92	2	92	Rosaceae	Rosaceae	TRSH
Miras_d8	727	2	94	Rumex	Rumex/Oxyria	HERB
Miras_d8	99	1	99	Salix	Salix	TRSH
Miras_d8	173	3	173	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB
Miras_d8	1098	4	177	Varia	Indeterminable: unknown	INUN
Miras_d8	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Miras_d8	192	10	42	Fagus	Fagus	TRSH
Miras_d8	416	31	279	Trilete spores	Trilete spore(s)	VACR
Miras_d8	441	2	19	Castanea	Castanea sativa	TRSH
