	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Miras_e2	1	1	1	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	0.30864198
1	Miras_e2	4	5	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	1.5432099
2	Miras_e2	5	18	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	5.5555556
3	Miras_e2	3209	135	3209	Calluna	Calluna	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	324	41.666667
4	Miras_e2	454	10	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	3.0864198
5	Miras_e2	9	10	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	3.0864198
6	Miras_e2	12	8	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	2.4691358
7	Miras_e2	14	1	14	Ilex	Ilex	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	0.30864198
8	Miras_e2	455	3	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	0.92592593
9	Miras_e2	18	8	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	2.4691358
10	Miras_e2	19	18	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	5.5555556
11	Miras_e2	208	35	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	10.802469
12	Miras_e2	118	15	118	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	324	4.6296296
13	Miras_e2	832	1	475	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	324	0.30864198
14	Miras_e2	1075	1	50	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	324	0.30864198
15	Miras_e2	69	6	69	Fabaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	324	1.8518519
16	Miras_e2	735	3	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	324	0.92592593
17	Miras_e2	87	3	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	324	0.92592593
18	Miras_e2	106	39	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	324	12.037037
19	Miras_e2	738	2	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	324	0.61728395
20	Miras_e2	193	2	193	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	324	0.61728395
21	Miras_e2	1108	6	197	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	324	
