samplename	original_varname	acc_varname	groupid	count	percentage
Miras_e5	Alnus	Alnus	TRSH	4	1.39
Miras_e5	Betula	Betula	TRSH	33	11.5
Miras_e5	Calluna	Calluna vulgaris	DWAR	6	2.09
Miras_e5	Carpinus	Carpinus betulus	TRSH	1	0.35
Miras_e5	Castanea	Castanea sativa	TRSH	4	1.39
Miras_e5	Corylus	Corylus	TRSH	15	5.23
Miras_e5	Fagus	Fagus	TRSH	6	2.09
Miras_e5	Fraxinus	Fraxinus	TRSH	1	0.35
Miras_e5	Olea	Olea europaea	TRSH	2	0.7
Miras_e5	Picea	Picea	TRSH	27	9.41
Miras_e5	Pinus	Pinus	TRSH	37	12.89
Miras_e5	Quercus	Quercus	TRSH	32	11.15
Miras_e5	Rosaceae	Rosaceae	TRSH	2	0.7
Miras_e5	Salix	Salix	TRSH	2	0.7
Miras_e5	Ulmus	Ulmus/Zelkova	TRSH	1	0.35
Miras_e5	Apiaceae	Apiaceae	HERB	2	0.7
Miras_e5	Artemisia	Artemisia	HERB	1	0.35
Miras_e5	Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.35
Miras_e5	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	1	0.35
Miras_e5	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.35
Miras_e5	Cerealia-type	Cerealia-type	HERB	1	0.35
Miras_e5	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.35
Miras_e5	Plantago	Plantago	HERB	2	0.7
Miras_e5	Plantago lanceolata	Plantago lanceolata-type	HERB	2	0.7
Miras_e5	Poaceae	Poaceae	HERB	93	32.4
Miras_e5	Rumex	Rumex/Oxyria	HERB	5	1.74
Miras_e5	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	1	0.35
Miras_e5	Trilete spores	Trilete spore(s)	VACR	3	1.05
Miras_e5	Cyperaceae	Cyperaceae	AQUA	1	0.35
Miras_e5	Potamogeton	Potamogeton-type	AQUA	1	0.35
Miras_e5	Fabaceae	Fabaceae	INUN	1	
Miras_e5	Varia	Indeterminable: unknown	INUN	2	
