	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Miras_g3	1	3	1	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	0.85470085
1	Miras_g3	4	5	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	1.4245014
2	Miras_g3	5	27	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	7.6923077
3	Miras_g3	3209	92	3209	Calluna	Calluna	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	351	26.210826
4	Miras_g3	7	4	7	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	1.1396011
5	Miras_g3	454	2	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	0.56980057
6	Miras_g3	9	7	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	1.994302
7	Miras_g3	12	21	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	5.982906
8	Miras_g3	16	2	16	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	0.56980057
9	Miras_g3	18	21	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	5.982906
10	Miras_g3	19	79	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	22.507123
11	Miras_g3	208	19	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	5.4131054
12	Miras_g3	118	2	118	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	0.56980057
13	Miras_g3	146	2	146	Vitis	Vitis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	351	0.56980057
14	Miras_g3	46	1	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	351	0.28490028
15	Miras_g3	50	2	50	Cerealia	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	351	0.56980057
16	Miras_g3	531	1	531	Crassulaceae	Crassulaceae	HERB	Herbs	HERB	True	True	Herbs	5	351	0.28490028
17	Miras_g3	3547	1	3547	Galium	Galium	HERB	Herbs	HERB	True	True	Herbs	5	351	0.28490028
18	Miras_g3	623	1	623	Helleborus	Helleborus	HERB	Herbs	HERB	True	True	Herbs	5	351	0.28490028
19	Miras_g3	735	3	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	351	0.85470085
20	Miras_g3	106	53	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	351	15.099715
21	Miras_g3	156	1	156	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	351	0.28490028
22	Miras_g3	738	2	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	351	0.56980057
23	Miras_g3	1108	4	197	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	351	
