samplename	original_varname	acc_varname	groupid	count	percentage
Miras_g4	Alnus	Alnus	TRSH	17	3.655914
Miras_g4	Betula	Betula	TRSH	39	8.3870968
Miras_g4	Calluna	Calluna	DWAR	82	17.634409
Miras_g4	Carpinus	Carpinus betulus	TRSH	2	0.43010753
Miras_g4	Castanea	Castanea sativa	TRSH	7	1.5053763
Miras_g4	Corylus	Corylus	TRSH	19	4.0860215
Miras_g4	Ericaceae	Ericales (tetrad)	DWAR	2	0.43010753
Miras_g4	Fagus	Fagus	TRSH	14	3.0107527
Miras_g4	Juglans	Juglans	TRSH	1	0.21505376
Miras_g4	Larix	Larix/Pseudotsuga	TRSH	2	0.43010753
Miras_g4	Olea	Olea europaea	TRSH	5	1.0752688
Miras_g4	Picea	Picea	TRSH	21	4.516129
Miras_g4	Pinus	Pinus	TRSH	79	16.989247
Miras_g4	Quercus	Quercus	TRSH	29	6.2365591
Miras_g4	Rosaceae	Rosaceae	TRSH	13	2.7956989
Miras_g4	Salix	Salix	TRSH	1	0.21505376
Miras_g4	Tilia	Tilia	TRSH	3	0.64516129
Miras_g4	Ulmus	Ulmus/Zelkova	TRSH	1	0.21505376
Miras_g4	Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.21505376
Miras_g4	Cerealia	Cerealia-type	HERB	3	0.64516129
Miras_g4	Cyperaceae	Cyperaceae	HERB	14	3.0107527
Miras_g4	Fabaceae	Fabaceae	HERB	1	0.21505376
Miras_g4	Galium	Galium	HERB	18	3.8709677
Miras_g4	Plantago	Plantago	HERB	5	1.0752688
Miras_g4	Poaceae	Poaceae	HERB	77	16.55914
Miras_g4	Rumex	Rumex/Oxyria	HERB	8	1.7204301
Miras_g4	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	1	0.21505376
Miras_g4	Varia	Indeterminable: unknown	INUN	17	
