	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Miras_h6	2	1	2	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.29411765
1	Miras_h6	4	2	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.58823529
2	Miras_h6	5	100	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	29.411765
3	Miras_h6	3209	6	3209	Calluna	Calluna	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	340	1.7647059
4	Miras_h6	7	4	7	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	1.1764706
5	Miras_h6	454	1	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.29411765
6	Miras_h6	587	1	356	Cedrus	Cedrus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.29411765
7	Miras_h6	9	3	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.88235294
8	Miras_h6	12	45	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	13.235294
9	Miras_h6	13	1	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.29411765
10	Miras_h6	14	1	14	Ilex	Ilex	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.29411765
11	Miras_h6	15	1	15	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.29411765
12	Miras_h6	16	3	16	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.88235294
13	Miras_h6	455	1	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.29411765
14	Miras_h6	18	3	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	0.88235294
15	Miras_h6	19	27	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	7.9411765
16	Miras_h6	208	33	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	9.7058824
17	Miras_h6	118	4	118	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	340	1.1764706
18	Miras_h6	36	1	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	340	0.29411765
19	Miras_h6	460	2	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	340	0.58823529
20	Miras_h6	50	21	50	Cerealia	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	340	6.1764706
21	Miras_h6	52	2	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	340	0.58823529
22	Miras_h6	531	1	531	Crassulaceae	Crassulaceae	HERB	Herbs	HERB	True	True	Herbs	5	340	0.29411765
23	Miras_h6	69	1	69	Fabaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	340	0.29411765
24	Miras_h6	1258	1	1258	Fagopyrum	Fagopyrum	HERB	Herbs	HERB	True	True	Herbs	5	340	0.29411765
25	Miras_h6	3547	3	3547	Galium	Galium	HERB	Herbs	HERB	True	True	Herbs	5	340	0.88235294
26	Miras_h6	735	2	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	340	0.58823529
27	Miras_h6	87	2	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	340	0.58823529
28	Miras_h6	106	60	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	340	17.647059
29	Miras_h6	156	1	156	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	340	0.29411765
30	Miras_h6	738	3	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	340	0.88235294
31	Miras_h6	193	3	193	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	340	0.88235294
32	Miras_h6	1108	7	197	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	340	
