	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Mitchell_a1	4	19	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	3.5781544
1	Mitchell_a1	1640	4	343	Arbutus	Arbutus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.75329567
2	Mitchell_a1	5	224	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	42.184557
3	Mitchell_a1	3209	37	3209	Calluna	Calluna	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	531	6.9679849
4	Mitchell_a1	9	8	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	1.5065913
5	Mitchell_a1	12	1	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.18832392
6	Mitchell_a1	13	2	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.37664783
7	Mitchell_a1	515	7	79	Hedera	Hedera	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	1.3182674
8	Mitchell_a1	14	18	14	Ilex	Ilex	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	3.3898305
9	Mitchell_a1	19	8	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	1.5065913
10	Mitchell_a1	208	108	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	20.338983
11	Mitchell_a1	23	3	23	Rhododendron	Rhododendron	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.56497175
12	Mitchell_a1	4045	1	4045	Rosaceae undifferentiated	Rosaceae undifferentiated	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.18832392
13	Mitchell_a1	162	1	162	Rubus	Rubus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.18832392
14	Mitchell_a1	25	3	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.56497175
15	Mitchell_a1	132	1	132	Sorbus	Sorbus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	0.18832392
16	Mitchell_a1	215	20	136	Taxus	Taxus baccata	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	531	3.7664783
17	Mitchell_a1	1347	1	53	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	531	0.18832392
18	Mitchell_a1	768	1	283	Centaurea	Centaurea	HERB	Herbs	HERB	True	True	Herbs	5	531	0.18832392
19	Mitchell_a1	61	2	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	531	0.37664783
20	Mitchell_a1	87	3	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	531	0.56497175
21	Mitchell_a1	1611	24	106	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	531	4.519774
22	Mitchell_a1	3523	11	3523	Filicales undifferentiated	Filicales undifferentiated	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	531	2.0715631
23	Mitchell_a1	677	14	230	Polypodium	Polypodium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	531	2.6365348
24	Mitchell_a1	1279	10	1279	Pteridium	Pteridium	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	531	1.8832392
25	Mitchell_a1	3628	8	1934	Indeterminable: crumpled	Indeterminable: crumpled	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	531	
