samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Montanari_a3	330	44	12	BETULA	Betula	TRSH
Montanari_a3	339	220	19	CASTANEA	Castanea sativa	TRSH
Montanari_a3	346	57	31	CORYLUS	Corylus	TRSH
Montanari_a3	347	12	347	CUPRESSACEAE	Cupressaceae undiff.	TRSH
Montanari_a3	379	2	70	OSTRYA	Ostrya/Carpinus orientalis	TRSH
Montanari_a3	383	14	126	PICEA	Picea	TRSH
Montanari_a3	2630	55	125	PINUS sylv.	Pinus sylvestris-type	TRSH
Montanari_a3	2631	12	124	PINUS CEMBRA	Pinus cembra-type	TRSH
Montanari_a3	2632	43	75	PINUS indiff..	Pinus	TRSH
Montanari_a3	2633	4	123	LARIX	Larix/Pseudotsuga	TRSH
Montanari_a3	322	11	2	ACER	Acer campestre-type	TRSH
Montanari_a3	357	1	42	FAGUS	Fagus	TRSH
Montanari_a3	359	44	190	FRAXINUS	Fraxinus	TRSH
Montanari_a3	367	8	57	JUGLANS	Juglans	TRSH
Montanari_a3	406	22	99	SALIX	Salix	TRSH
Montanari_a3	2637	16	129	ALNUS viridis	Alnus viridis	TRSH
Montanari_a3	2638	17	5	ALNUS indiff.	Alnus	TRSH
Montanari_a3	2639	65	86	QUERCUS decid.	Quercus robur-type	TRSH
Montanari_a3	2642	2	187	TILIA	Tilia	TRSH
Montanari_a3	2644	1	872	MORUS	Morus	TRSH
Montanari_a3	2645	12	107	SORBUS	Sorbus-type	TRSH
Montanari_a3	2646	3	202	CELTIS	Celtis	TRSH
Montanari_a3	2647	1	82	PRUNUS	Prunus-type	TRSH
Montanari_a3	328	73	7	ARTEMISIA	Artemisia	HERB
Montanari_a3	349	3	33	CYPERACEAE	Cyperaceae	HERB
Montanari_a3	388	569	80	POACEAE	Poaceae	HERB
Montanari_a3	407	18	407	SAMBUCUS	Sambucus	TRSH
Montanari_a3	1316	9	6	UMBELLIFERAE	Apiaceae	HERB
Montanari_a3	2653	21	490	ROSACEAE indiff.	Rosaceae (non-operculate)	TRSH
Montanari_a3	2656	2	1212	AILANTHUS	Ailanthus	TRSH
Montanari_a3	2657	1	2200	RIBES	Ribes	TRSH
Montanari_a3	2660	17	22	POACEAE > 45 µm	Cerealia-type	HERB
Montanari_a3	2661	4	45	cf. Filipendula	Filipendula	HERB
Montanari_a3	2663	40	105	SEDUM	Sedum-type	HERB
Montanari_a3	408	8	173	SCROPHULARIACEAE	Scrophulariaceae (colporate-reticulate)	HERB
Montanari_a3	2666	3	603	CIRSIUM	Cirsium	HERB
Montanari_a3	2667	45	809	URTICACEAE	Urticaceae	HERB
Montanari_a3	2668	16	270	PLANTAGO indet.	Plantago	HERB
Montanari_a3	2669	25	60	PLANTAGO lanceol.	Plantago lanceolata-type	HERB
Montanari_a3	2670	1	79	PLANTAGO major	Plantago major	HERB
Montanari_a3	2671	58	24	CHENOPODIACEAE	Chenopodiaceae/Amaranthaceae	HERB
Montanari_a3	2672	23	95	RUMEX acetosa	Rumex acetosa-type	HERB
Montanari_a3	2673	1	251	RUMEX cf. obtusif.	Rumex crispus-type	HERB
Montanari_a3	2674	2	94	RUMEX indet.	Rumex/Oxyria	HERB
Montanari_a3	2691	20	177	unidentified	Indeterminable: unknown	INUN
Montanari_a3	2693	10	883	sample volume (Vp) (ml)	Sample volume (ml)	NOPO
Montanari_a3	2694	0.04	2694	examined volume (Vg) (ml)	Sample volume analysed (ml)	NOPO
Montanari_a3	2695	2.3101	2695	sample weight (Pp) (grams)	Weight (g)	NOPO
Montanari_a3	338	4	18	CARYOPHYLLACEAE	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Montanari_a3	371	5	62	LILIACEAE	Liliaceae-type	HERB
Montanari_a3	2682	1	430	VIOLA	Viola	HERB
Montanari_a3	2687	3	146	FILICALES monol.	Monolete fern spores	VACR
Montanari_a3	2692	19	147	BRYOPHYTA	Bryophyte spores	BRYO
Montanari_a3	2636	28	155	ALNUS  incana	Alnus glutinosa-type	TRSH
Montanari_a3	2651	4	130	ERICACEAE indiff.	Ericales (tetrad)	DWAR
Montanari_a3	2664	17	160	ASTERACEAE aster.	Asteraceae subf. Asteroideae	HERB
Montanari_a3	2665	16	336	ASTERACEAE cichor.	Asteraceae subf. Carduoideae	HERB
Montanari_a3	2675	1	625	POLYGONUM bistorta	Polygonum bistorta	HERB
Montanari_a3	2678	1	639	SAXIFRAGACEAE	Saxifragaceae	HERB
Montanari_a3	2679	3	41	LEGUMINOSAE	Fabaceae	HERB
Montanari_a3	2680	1	136	CAMPANULACEAE	Campanulaceae	HERB
Montanari_a3	2643	1	2440	AESCULUS	Aesculus	TRSH
Montanari_a3	1304	6	93	GALIUM	Rubiaceae	HERB
