samplename	original_varname	acc_varname	groupid	count	percentage
Montanari_a5	ABIES	Abies	TRSH	1	0.054975261
Montanari_a5	ACER	Acer campestre-type	TRSH	26	1.4293568
Montanari_a5	AESCULUS	Aesculus	TRSH	6	0.32985157
Montanari_a5	AILANTHUS	Ailanthus	TRSH	4	0.21990104
Montanari_a5	ALNUS indiff.	Alnus	TRSH	16	0.87960418
Montanari_a5	ALNUS  incana	Alnus glutinosa-type	TRSH	41	2.2539857
Montanari_a5	ALNUS viridis	Alnus viridis	TRSH	21	1.1544805
Montanari_a5	BETULA	Betula	TRSH	45	2.4738868
Montanari_a5	CALLUNA	Calluna vulgaris	TRSH	4	0.21990104
Montanari_a5	CASTANEA	Castanea sativa	TRSH	176	9.675646
Montanari_a5	CORYLUS	Corylus	TRSH	63	3.4634415
Montanari_a5	CUPRESSACEAE	Cupressaceae undiff.	TRSH	5	0.27487631
Montanari_a5	ERICACEAE indiff.	Ericales (tetrad)	DWAR	13	0.71467839
Montanari_a5	FAGUS	Fagus	TRSH	1	0.054975261
Montanari_a5	FRAXINUS	Fraxinus	TRSH	23	1.264431
Montanari_a5	JUGLANS	Juglans	TRSH	4	0.21990104
Montanari_a5	LARIX	Larix/Pseudotsuga	TRSH	19	1.04453
Montanari_a5	LIGUSTRUM	Ligustrum	TRSH	1	0.054975261
Montanari_a5	MORUS	Morus	TRSH	1	0.054975261
Montanari_a5	OSTRYA	Ostrya/Carpinus orientalis	TRSH	2	0.10995052
Montanari_a5	PICEA	Picea	TRSH	37	2.0340847
Montanari_a5	PINUS indiff..	Pinus	TRSH	76	4.1781198
Montanari_a5	PINUS CEMBRA	Pinus cembra-type	TRSH	16	0.87960418
Montanari_a5	PINUS sylv.	Pinus sylvestris-type	TRSH	270	14.843321
Montanari_a5	QUERCUS decid.	Quercus robur-type	TRSH	27	1.4843321
Montanari_a5	ROSACEAE indiff.	Rosaceae (non-operculate)	TRSH	28	1.5393073
Montanari_a5	RUBUS idaeus	Rubus	TRSH	2	0.10995052
Montanari_a5	SALIX	Salix	TRSH	46	2.528862
Montanari_a5	SAMBUCUS	Sambucus	TRSH	7	0.38482683
Montanari_a5	SORBUS	Sorbus-type	TRSH	66	3.6283672
Montanari_a5	TILIA	Tilia	TRSH	8	0.43980209
Montanari_a5	VACCINIUM	Vaccinium	DWAR	1	0.054975261
Montanari_a5	VIBURNUM	Viburnum	TRSH	3	0.16492578
Montanari_a5	UMBELLIFERAE	Apiaceae	HERB	21	1.1544805
Montanari_a5	ARTEMISIA	Artemisia	HERB	7	0.38482683
Montanari_a5	ASTERACEAE aster.	Asteraceae subf. Asteroideae	HERB	13	0.71467839
Montanari_a5	ASTERACEAE cichor.	Asteraceae subf. Carduoideae	HERB	22	1.2094557
Montanari_a5	BORAGINACEAE	Boraginaceae	HERB	2	0.10995052
Montanari_a5	CAMPANULACEAE	Campanulaceae	HERB	4	0.21990104
Montanari_a5	CARYOPHYLLACEAE	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.10995052
Montanari_a5	POACEAE > 45 µm	Cerealia-type	HERB	2	0.10995052
Montanari_a5	CHENOPODIACEAE	Chenopodiaceae/Amaranthaceae	HERB	12	0.65970313
Montanari_a5	DIPSACACEAE	Dipsacaceae	HERB	1	0.054975261
Montanari_a5	EPILOBIUM angustif.	Epilobium angustifolium-type	HERB	2	0.10995052
Montanari_a5	LEGUMINOSAE	Fabaceae	HERB	1	0.054975261
Montanari_a5	cf. Filipendula	Filipendula	HERB	4	0.21990104
Montanari_a5	GERANIUM	Geranium	HERB	1	0.054975261
Montanari_a5	GEUM	Geum-type	HERB	1	0.054975261
Montanari_a5	LABIATAE	Lamiaceae	HERB	1	0.054975261
Montanari_a5	PLANTAGO indet.	Plantago	HERB	3	0.16492578
Montanari_a5	PLANTAGO lanceol.	Plantago lanceolata-type	HERB	6	0.32985157
Montanari_a5	PLANTAGO major	Plantago major	HERB	2	0.10995052
Montanari_a5	POACEAE	Poaceae	HERB	368	20.230896
Montanari_a5	POLYGONUM bistorta	Polygonum bistorta	HERB	20	1.0995052
Montanari_a5	GALIUM	Rubiaceae	HERB	3	0.16492578
Montanari_a5	RUMEX cf. obtusif.	Rumex crispus-type	HERB	1	0.054975261
Montanari_a5	SCROPHULARIACEAE	Scrophulariaceae (colporate-reticulate)	HERB	4	0.21990104
Montanari_a5	SEDUM	Sedum-type	HERB	18	0.9895547
Montanari_a5	URTICACEAE	Urticaceae	HERB	12	0.65970313
Montanari_a5	BRYOPHYTA	Bryophyte spores	BRYO	219	12.039582
Montanari_a5	FILICALES monol.	Monolete fern spores	VACR	6	0.32985157
Montanari_a5	FILICALES tril.	Trilete spore(s)	VACR	2	0.10995052
Montanari_a5	TYPHA latif.	Typha latifolia-type	HELO	3	0.16492578
Montanari_a5	unidentified	Indeterminable: unknown	INUN	3	
Montanari_a5	sample volume (Vp) (ml)	Sample volume (ml)	NOPO	10	
Montanari_a5	examined volume (Vg) (ml)	Sample volume analysed (ml)	NOPO	0.02	
Montanari_a5	sample weight (Pp) (grams)	Weight (g)	NOPO	2.1175	
