samplename	original_varname	acc_varname	groupid	count	percentage	notes
Mrotzek_a6	Alnus	Alnus	TRSH	68	7.0759625	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Betula	Betula	TRSH	148	15.400624	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Calluna vulgaris	Calluna vulgaris	TRSH	6	0.62434964	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mrotzek_a6	Carpinus type	Carpinus betulus	TRSH	3	0.31217482	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Corylus	Corylus	TRSH	31	3.2258065	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Fagus	Fagus	TRSH	198	20.603538	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Fraxinus	Fraxinus	TRSH	6	0.62434964	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Picea	Picea	TRSH	79	8.2206035	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Pinus	Pinus	TRSH	244	25.390219	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Quercus	Quercus	TRSH	87	9.0530697	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Rosaceae non-operculate	Rosaceae	TRSH	1	0.10405827	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Mrotzek_a6	Salix	Salix	TRSH	4	0.41623309	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Mrotzek_a6	Artemisia	Artemisia	HERB	11	1.144641	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mrotzek_a6	Avena Triticum group	Avena/Triticum-type	HERB	2	0.20811655	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Centaurea cyanus	Centaurea cyanus-type	HERB	2	0.20811655	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Hordeum group	Cerealia-type	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Chenopodiaceae and Amaran.	Chenopodiaceae/Amaranthaceae	HERB	4	0.41623309	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Humulus lupulus	Humulus lupulus	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Lamium album-Typ	Lamium album-type	HERB	3	0.31217482	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Anthemis type	Matricaria-type	HERB	6	0.62434964	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Plantago lanceolata type	Plantago lanceolata-type	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Wild grass group	Poaceae	HERB	34	3.5379813	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Mrotzek_a6	Polygonum bistorta type	Polygonum bistorta-type	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Rumex acetosa type	Rumex acetosa-type	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Secale cereale	Secale cereale	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Sinapis type	Sinapis-type	HERB	8	0.83246618	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Urtica dioica type	Urtica dioica-type	HERB	1	0.10405827	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	indet. Pollen	Indeterminable: unknown	INUN	3		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Asterosporium asterospermum	Asterosporium asterospermum	FUNG	10		GroupID taken from spreadsheet
Mrotzek_a6	Dryopteris cristata type	Dryopteris cristata-type	VACR	5	0.52029136	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Mrotzek_a6	Monolete spore without perine	Monolete fern spores	VACR	3	0.31217482	GroupID taken from POLNET. Only one taxon matched that acc_varname.
