samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Muller_a47	123	33	123	Larix	Larix/Pseudotsuga	TRSH
Muller_a47	126	5	126	Picea	Picea	TRSH
Muller_a47	1049	192	125	Pinus diploxylon-type	Pinus sylvestris-type	TRSH
Muller_a47	127	82	127	Betula sect. Nanae	Betula nana-type	DWAR
Muller_a47	1050	19	124	Pinus haploxylon-type	Pinus cembra-type	TRSH
Muller_a47	1944	40	1944	Pinaceae	Pinaceae	TRSH
Muller_a47	33	9	33	Cyperaceae	Cyperaceae	HERB
Muller_a47	80	4	80	Poaceae	Poaceae	HERB
Muller_a47	130	7	130	Ericaceae	Ericales (tetrad)	DWAR
Muller_a47	547	2	547	Epilobium	Epilobium	HERB
Muller_a47	135	1	135	Ranunculaceae	Ranunculaceae	HERB
Muller_a47	2344	3	2344	Microthyrium	Microthyrium	FUNG
Muller_a47	2997	2	177	scalariform perforation plate	Indeterminable: unknown	INUN
Muller_a47	2998	18	177	Tracheids	Indeterminable: unknown	INUN
Muller_a47	2999	2	177	Spores indeterminata	Indeterminable: unknown	INUN
Muller_a47	2995	28	142	Selaginella rupestris	Selaginella rupestris	VACR
Muller_a47	2970	400	177	Pollen, terrestrial	Indeterminable: unknown	INUN
Muller_a47	3000	100	559	Lycopodium spores counted	Lycopodium (counted)	NOPO
Muller_a47	3001	8543	3001	Pollen per unit sediment mass	Pollen per unit sediment mass (/g)	NOPO
Muller_a47	2962	6	129	Alnus fruticosa	Alnus viridis	TRSH
