samplename	original_varname	acc_varname	groupid	count	percentage
Muller_a7	Alnus fruticosa	Alnus viridis	TRSH	22	6.18
Muller_a7	Betula sect. Nanae	Betula nana-type	DWAR	192	53.93
Muller_a7	Betula sect. Albae	Betula pubescens-type	TRSH	2	0.56
Muller_a7	Ericaceae	Ericales (tetrad)	DWAR	1	0.28
Muller_a7	Pinus diploxylon-type	Pinus sylvestris-type	TRSH	2	0.56
Muller_a7	Salix	Salix	TRSH	39	10.96
Muller_a7	Ericaceae vaccinium-type	Vaccinium	TRSH	6	1.69
Muller_a7	Artemisia	Artemisia	HERB	1	0.28
Muller_a7	Cyperaceae	Cyperaceae	HERB	32	8.99
Muller_a7	Lamiaceae	Lamiaceae	HERB	1	0.28
Muller_a7	Poaceae	Poaceae	HERB	52	14.61
Muller_a7	Polygonaceae	Polygonaceae	HERB	1	0.28
Muller_a7	Primulaceae	Primulaceae	HERB	1	0.28
Muller_a7	Ranunculaceae	Ranunculaceae	HERB	1	0.28
Muller_a7	Asteraceae senecio-type	Senecio-type	HERB	2	0.56
Muller_a7	Botrychium	Botrychium	VACR	1	0.28
Muller_a7	Pollen indeterminata	Indeterminable: unknown	INUN	6	
Muller_a7	Pollen, terrestrial	Indeterminable: unknown	INUN	361	
Muller_a7	Lycopodium spores counted	Lycopodium (counted)	NOPO	392	
Muller_a7	Microthyrium	Microthyrium	FUNG	24	
Muller_a7	Pollen per unit sediment mass	Pollen per unit sediment mass (/g)	NOPO	1967	
