samplename	original_varname	acc_varname	groupid	count	percentage	notes
MunozSobrino_a39	Alnus	Alnus	TRSH	36	19.047619	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Betula	Betula	TRSH	11	5.8201058	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Castanea-type	Castanea sativa	TRSH	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Corylus	Corylus	TRSH	3	1.5873016	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Erica	Erica	DWAR	16	8.4656085	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Ulex-type	Genista-type	TRSH	4	2.1164021	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Juglans-type	Juglans	TRSH	1	0.52910053	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Olea europaea	Olea europaea	TRSH	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Pinus	Pinus	TRSH	59	31.216931	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Quercus robur-type	Quercus robur-type	TRSH	14	7.4074074	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Salix	Salix	TRSH	1	0.52910053	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Sambucus nigra-type	Sambucus nigra	TRSH	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Asteraceae	Asteraceae	HERB	4	2.1164021	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
MunozSobrino_a39	Brassicaceae	Brassicaceae	HERB	1	0.52910053	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
MunozSobrino_a39	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Helianthemum	Helianthemum	HERB	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Lilium martagon	Lilium	HERB	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Plantago maritima-type	Plantago maritima-type	HERB	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Poaceae	Poaceae	HERB	18	9.5238095	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
MunozSobrino_a39	Ranunculus-type	Ranunculus-type	HERB	3	1.5873016	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Botryococcus	Botryococcus cf. B. terribilis	ALGA	3	1.5873016	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Chlorococcales	Chlorococcales	ALGA	15	7.9365079	GroupID taken from spreadsheet
MunozSobrino_a39	Non-septate filamentous algae undet.	Non-septate filamentous algae undet.	ALGA	3	1.5873016	GroupID taken from spreadsheet
MunozSobrino_a39	Potamogeton	Potamogeton-type	AQUA	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Typha latifolia-type	Typha latifolia-type	HELO	1	0.52910053	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Ullotrix/Microspora-type	Ullotrix/Microspora-type	ALGA	2	1.0582011	GroupID taken from spreadsheet
MunozSobrino_a39	Eggs	Eggs: indeterminable	INUN	1		GroupID taken from spreadsheet
MunozSobrino_a39	Phragmospore undet.	Indeterminable: unknown	INUN	7		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Oscillatoria	Cyanobacteria	CYAN	5		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Eucalyptus	Eucalyptus spike (counted)	NOPO	4		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Foram	Foraminifera	INVE	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Hiphae	Fungal Hyphae	FUNG	87		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Fungal spore undet.	Fungal spore	FUNG	6		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Lingulodinium	Lingulodinium	DINO	159		GroupID taken from spreadsheet
MunozSobrino_a39	Monolete	Monolete fern spores	VACR	7	3.7037037	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Neurospora	Neurospora	FUNG	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Nymphaea basal cells	Nymphaeaceae: base cells	VEMI	2		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Operculodinium	Operculodinium	DINO	4		GroupID taken from spreadsheet
MunozSobrino_a39	Polypodium vulgare-type	Polypodium	VACR	1	0.52910053	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
MunozSobrino_a39	Sordariaceus ascospores	Sordariaceus ascospores	FUNG	19		GroupID taken from spreadsheet
MunozSobrino_a39	Spiniferites	Spiniferites	DINO	7		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Trilete	Trilete spore(s)	VACR	2	1.0582011	GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Type 109	Type 109	NOPO	2		GroupID taken from spreadsheet
MunozSobrino_a39	Type 179	Type 179	INVE	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Type 201	Type 201	FUNG	14		GroupID taken from POLNET. Only one taxon matched that acc_varname.
MunozSobrino_a39	Vegetal	Vegetative remains	NOPO	15		GroupID taken from spreadsheet
