samplename	original_varname	acc_varname	groupid	count	percentage	notes
Nakagawa_a7	Abies	Abies	TRSH	1	0.20790021	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Aesculus	Aesculus	TRSH	1	0.20790021	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Nakagawa_a7	Alnus	Alnus	TRSH	5	1.039501	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Betula	Betula	TRSH	12	2.4948025	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Celtis-Aphananthe	Cannabaceae	TRSH	1	0.20790021	GroupID taken from spreadsheet
Nakagawa_a7	Carpinus	Carpinus betulus	TRSH	5	1.039501	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Nakagawa_a7	Corylus	Corylus	TRSH	2	0.41580042	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Cryptomeria	Cryptomeria-type	TRSH	185	38.461538	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Nakagawa_a7	Castanopsis-Castanea	Fagaceae	TRSH	6	1.2474012	GroupID taken from spreadsheet
Nakagawa_a7	Fagus	Fagus	TRSH	3	0.62370062	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Fraxinus	Fraxinus	TRSH	3	0.62370062	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Ilex	Ilex	TRSH	1	0.20790021	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Pinus-undiff.	Pinus	TRSH	100	20.790021	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Quercus-E	Quercus ilex-type	TRSH	3	0.62370062	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Nakagawa_a7	Quercus-D	Quercus robur-type	TRSH	48	9.97921	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Nakagawa_a7	Sciadopitys	Sciadopitys	TRSH	1	0.20790021	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	T-C-C type	Taxaceae/Cephalotaxaceae/Cupressaceae	TRSH	15	3.1185031	GroupID taken from spreadsheet
Nakagawa_a7	Tsuga	Tsuga	TRSH	3	0.62370062	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	6	1.2474012	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Nakagawa_a7	Artemisia	Artemisia	HERB	42	8.7318087	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Nakagawa_a7	Compositae	Asteraceae	HERB	26	5.4054054	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Nakagawa_a7	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	2	0.41580042	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Nakagawa_a7	Gramineae	Poaceae	HERB	10	2.0790021	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Nakagawa_a7	broken	Indeterminable: broken	INUN	61		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Nakagawa_a7	Unknown	Indeterminable: unknown	INUN	26		GroupID taken from POLNET. Only one taxon matched that acc_varname.
