samplename	original_varname	acc_varname	groupid	count	percentage
Nakagawa_c18	Abies	Abies	TRSH	32	2.81
Nakagawa_c18	Acer	Acer campestre-type	TRSH	2	0.18
Nakagawa_c18	Alnus	Alnus	TRSH	23	2.02
Nakagawa_c18	Betula	Betula	TRSH	6	0.53
Nakagawa_c18	Carpinus	Carpinus betulus	TRSH	6	0.53
Nakagawa_c18	Corylus	Corylus	TRSH	1	0.09
Nakagawa_c18	Cryptomeria	Cryptomeria-type	TRSH	66	5.8
Nakagawa_c18	Castanopsis-Castanea	Fagaceae	TRSH	1	0.09
Nakagawa_c18	Fagus	Fagus	TRSH	4	0.35
Nakagawa_c18	Juglans-Pterocarya	Juglandaceae	TRSH	13	1.14
Nakagawa_c18	Larix	Larix/Pseudotsuga	TRSH	8	0.7
Nakagawa_c18	Picea	Picea	TRSH	2	0.18
Nakagawa_c18	Pinus	Pinus	TRSH	162	14.25
Nakagawa_c18	Quercus-E	Quercus ilex-type	TRSH	1	0.09
Nakagawa_c18	Quercus-D	Quercus robur-type	TRSH	87	7.65
Nakagawa_c18	T-C-C type	Taxaceae/Cephalotaxaceae/Cupressaceae	TRSH	5	0.44
Nakagawa_c18	Tilia	Tilia	TRSH	2	0.18
Nakagawa_c18	Ulmus-Zelkova	Ulmus/Zelkova	TRSH	6	0.53
Nakagawa_c18	Artemisia	Artemisia	HERB	158	13.9
Nakagawa_c18	Compo.	Asteraceae	HERB	543	47.76
Nakagawa_c18	Gramine.	Poaceae	HERB	9	0.79
