samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Nielsen_a2	5	61	5	Alnus	Alnus	TRSH
Nielsen_a2	12	23	12	Betula	Betula	TRSH
Nielsen_a2	3645	3	3645	Calluna	Calluna vulgaris	DWAR
Nielsen_a2	3665	2	3663	Carex-type	Carex	AQUA
Nielsen_a2	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Nielsen_a2	31	31	31	Corylus avellana	Corylus	TRSH
Nielsen_a2	47	3	47	Fraxinus excelsior	Fraxinus excelsior-type	TRSH
Nielsen_a2	949	2	258	Hordeum-type	Hordeum-type	HERB
Nielsen_a2	2576	1	595	Pimpinella major-type	Pimpinella major-type	HERB
Nielsen_a2	75	22	75	Pinus	Pinus	TRSH
Nielsen_a2	60	2	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Nielsen_a2	80	25	80	Poaceae	Poaceae	HERB
Nielsen_a2	189	17	189	Quercus	Quercus	TRSH
Nielsen_a2	256	7	256	Secale cereale	Secale cereale	HERB
Nielsen_a2	117	1	117	Urtica dioica	Urtica dioica	HERB
Nielsen_a2	42	90	42	Fagus sylvatica	Fagus	TRSH
Nielsen_a2	81	1	81	Populus	Populus	TRSH
Nielsen_a2	96	3	96	Rumex acetosella	Rumex acetosella	HERB
Nielsen_a2	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Nielsen_a2	187	1	187	Tilia	Tilia	TRSH
Nielsen_a2	563	1	16	Carpinus betulus	Carpinus betulus	TRSH
Nielsen_a2	2601	1	977	Myrica gale	Myrica	TRSH
Nielsen_a2	4447	1	4447	Ranunculus flammula-type	Ranunculus flammula-type	AQUA
