samplename	original_varname	acc_varname	groupid	count	percentage
Niemeyer_a8	Alnus	Alnus	TRSH	96	11.65
Niemeyer_a8	Betula	Betula	TRSH	309	37.5
Niemeyer_a8	Cassiope	Erica ciliaris-type	DWAR	7	0.85
Niemeyer_a8	Larix	Larix/Pseudotsuga	TRSH	5	0.61
Niemeyer_a8	Pinaceae	Pinaceae	TRSH	10	1.21
Niemeyer_a8	Rosaceae	Rosaceae	TRSH	3	0.36
Niemeyer_a8	Rubus	Rubus	TRSH	1	0.12
Niemeyer_a8	Salix	Salix	TRSH	10	1.21
Niemeyer_a8	Vaccinium	Vaccinium	TRSH	16	1.94
Niemeyer_a8	Apiaceae	Apiaceae	HERB	1	0.12
Niemeyer_a8	Artemisia	Artemisia	HERB	7	0.85
Niemeyer_a8	Brassicaceae	Brassicaceae	HERB	9	1.09
Niemeyer_a8	Cerastium-type	Cerastium-type	HERB	1	0.12
Niemeyer_a8	Cyperaceae	Cyperaceae	HERB	259	31.43
Niemeyer_a8	Fabaceae	Fabaceae	HERB	1	0.12
Niemeyer_a8	Liliaceae	Liliaceae-type	HERB	1	0.12
Niemeyer_a8	Pedicularis	Pedicularis	HERB	1	0.12
Niemeyer_a8	Poaceae	Poaceae	HERB	63	7.65
Niemeyer_a8	Potentilla-type	Potentilla-type	HERB	15	1.82
Niemeyer_a8	Ranunculus arvensis-type	Ranunculus arvensis-type	HERB	1	0.12
Niemeyer_a8	Rumex	Rumex/Oxyria	HERB	5	0.61
Niemeyer_a8	Senecio-type	Senecio-type	HERB	2	0.24
Niemeyer_a8	Thalictrum	Thalictrum	HERB	1	0.12
Niemeyer_a8	Marker, found	Marker (counted)	NOPO	226	
