samplename	original_varname	acc_varname	groupid	count	percentage
Novenko_a10	Alnus	Alnus	TRSH	98	14.583333
Novenko_a10	Betula	Betula	TRSH	341	50.744048
Novenko_a10	Corylus	Corylus	TRSH	9	1.3392857
Novenko_a10	Ericales	Ericales (tetrad)	DWAR	2	0.29761905
Novenko_a10	Picea	Picea	TRSH	58	8.6309524
Novenko_a10	Pinus	Pinus	TRSH	37	5.5059524
Novenko_a10	Quercus	Quercus	TRSH	2	0.29761905
Novenko_a10	Rosaceae	Rosaceae	TRSH	8	1.1904762
Novenko_a10	Salix	Salix	TRSH	3	0.44642857
Novenko_a10	Sambucus	Sambucus	TRSH	10	1.4880952
Novenko_a10	Ulmus	Ulmus/Zelkova	TRSH	2	0.29761905
Novenko_a10	Artemisia	Artemisia	HERB	3	0.44642857
Novenko_a10	Compositae	Asteraceae	HERB	7	1.0416667
Novenko_a10	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	1	0.14880952
Novenko_a10	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	5	0.74404762
Novenko_a10	Fabaceae	Fabaceae	HERB	1	0.14880952
Novenko_a10	Juncaceae	Juncaceae	HERB	3	0.44642857
Novenko_a10	Oxalis acetosella	Oxalis acetosella	HERB	1	0.14880952
Novenko_a10	Poaceae	Poaceae	HERB	12	1.7857143
Novenko_a10	Lycopodium clavatum	Lycopodium clavatum	VACR	1	0.14880952
Novenko_a10	Polypodiaceae	Monolete fern spores	VACR	68	10.119048
