	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Novenko_a11	4	175	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	20.908005
1	Novenko_a11	5	415	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	49.58184
2	Novenko_a11	9	2	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	0.23894863
3	Novenko_a11	2128	1	11	Ericales	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	837	0.11947431
4	Novenko_a11	18	94	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	11.230585
5	Novenko_a11	19	94	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	11.230585
6	Novenko_a11	208	5	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	0.59737157
7	Novenko_a11	118	3	118	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	0.35842294
8	Novenko_a11	25	6	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	0.71684588
9	Novenko_a11	493	7	423	Sambucus	Sambucus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	0.83632019
10	Novenko_a11	31	1	31	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	837	0.11947431
11	Novenko_a11	37	8	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	837	0.9557945
12	Novenko_a11	2471	3	155	Compositae	Asteraceae	HERB	Herbs	HERB	True	True	Herbs	5	837	0.35842294
13	Novenko_a11	42	1	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	837	0.11947431
14	Novenko_a11	52	1	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	837	0.11947431
15	Novenko_a11	61	2	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	837	0.23894863
16	Novenko_a11	106	11	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	837	1.3142174
17	Novenko_a11	738	2	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	837	0.23894863
18	Novenko_a11	167	6	167	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	837	0.71684588
19	Novenko_a11	165	2	165	Sphagnum	Sphagnum	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	837	
