samplename	original_varname	acc_varname	groupid	count	percentage	notes
Novenko_c152	Alnus	Alnus	TRSH	15	6.6964286	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Novenko_c152	Betula sect. Nanae	Betula nana-type	DWAR	2	0.89285714	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Novenko_c152	Betula alba	Betula pubescens-type	TRSH	72	32.142857	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Novenko_c152	Picea	Picea	TRSH	36	16.071429	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Novenko_c152	Pinus sylvestris	Pinus sylvestris-type	TRSH	80	35.714286	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Novenko_c152	Rosaceae	Rosaceae	TRSH	2	0.89285714	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Novenko_c152	Salix	Salix	TRSH	2	0.89285714	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Novenko_c152	Asteraceae	Asteraceae	HERB	1	0.44642857	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Novenko_c152	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.44642857	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Novenko_c152	Cyperaceae	Cyperaceae	HERB	7	3.125	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Novenko_c152	Poaceae	Poaceae	HERB	3	1.3392857	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Novenko_c152	Polypodiaceae	Monolete fern spores	VACR	3	1.3392857	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Novenko_c152	Sphagnum	Sphagnum	NOPO	30		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
